x y flux0 flux1 flux2 width rv
-31.318 -41.333 2.03e-17 1.24e-17 5.84e-18 10.62 -2502.37
-31.286 -41.241 1.72e-17 1.08e-17 7.06e-18 12.91 -2502.40
-31.266 -41.272 1.64e-17 1.38e-17 9.22e-18 18.28 -2502.42
-31.264 -41.253 2.87e-17 1.26e-17 9.60e-18  7.58 -2502.21
-31.264 -41.233 1.62e-17 1.06e-17 6.59e-18 14.33 -2502.27
-31.262 -41.330 1.57e-17 1.28e-17 5.19e-18 14.10 -2502.50
-31.214 -41.228 1.23e-17 1.01e-17 6.66e-18 11.54 -2502.37
-31.214 -41.232 1.56e-17 1.01e-17 9.05e-18 10.42 -2502.44
-31.212 -41.218 1.32e-17 1.28e-17 9.25e-18 13.88 -2502.29
-31.210 -41.226 1.39e-17 1.18e-17 8.71e-18 14.14 -2502.26
-31.208 -41.222 1.31e-17 1.19e-17 8.09e-18 12.11 -2502.40
-31.202 -41.217 1.50e-17 1.19e-17 7.80e-18 12.14 -2502.58
-31.198 -41.362 1.45e-17 1.62e-17 6.57e-18 13.84 -2502.27
-31.195 -41.239 1.74e-17 1.16e-17 6.93e-18 17.53 -2502.19
-31.183 -41.093 1.75e-17 1.34e-17 8.66e-18 10.57 -2502.28
-31.180 -41.139 1.43e-17 1.01e-17 6.97e-18 12.06 -2502.32
-31.178 -41.237 1.46e-17 1.13e-17 6.62e-18  9.58 -2502.37
-31.167 -41.186 1.49e-17 1.01e-17 1.20e-17 12.24 -2502.42
-31.079 -41.185 1.57e-17 1.06e-17 5.85e-18 11.32 -2502.28
