x y flux0 flux1 flux2 width rv
-29.892  34.685 1.49e-17 1.16e-17 8.01e-18 19.73 -2522.10
-29.856  34.856 1.52e-17 1.13e-17 7.85e-18 10.91 -2522.12
-29.839  34.808 1.93e-17 1.31e-17 1.01e-17 10.42 -2522.12
-29.821  34.921 1.74e-17 1.35e-17 9.03e-18  9.33 -2522.01
-29.795  35.179 1.32e-17 1.02e-17 7.08e-18 14.06 -2521.75
-29.728  34.793 1.58e-17 1.15e-17 7.50e-18 16.07 -2522.12
-29.697  34.810 1.78e-17 1.21e-17 7.95e-18 19.79 -2522.07
-29.691  35.055 1.91e-17 1.40e-17 9.16e-18 12.94 -2521.75
-29.678  34.835 1.58e-17 1.14e-17 7.05e-18 18.41 -2522.08
-29.677  34.675 1.88e-17 1.21e-17 9.14e-18 18.10 -2522.06
-29.662  34.763 1.63e-17 1.24e-17 8.02e-18 13.95 -2521.97
-29.516  34.652 1.63e-17 1.15e-17 8.18e-18 13.88 -2522.03
-29.466  34.292 2.01e-17 1.30e-17 9.15e-18 15.82 -2522.07
-27.758  38.501 1.28e-17 1.03e-17 6.32e-18 18.26 -2616.43
-27.726  38.632 1.53e-17 1.11e-17 8.16e-18 19.65 -2616.56
-27.708  38.749 1.43e-17 1.05e-17 6.89e-18 12.49 -2616.54
-27.678  38.625 1.42e-17 1.04e-17 6.42e-18 12.05 -2616.56
-27.653  38.623 1.60e-17 1.11e-17 7.90e-18 11.82 -2616.55
-27.625  38.652 1.64e-17 1.21e-17 7.33e-18  9.20 -2616.36
-27.624  38.635 1.45e-17 1.13e-17 7.45e-18 14.56 -2616.60
-27.614  38.629 1.55e-17 1.06e-17 7.19e-18  6.73 -2616.50
-27.612  38.628 1.74e-17 1.17e-17 8.51e-18 15.70 -2616.57
-27.587  38.635 1.62e-17 1.12e-17 7.65e-18 12.36 -2616.56
-27.530  38.547 1.46e-17 1.01e-17 7.26e-18 13.68 -2616.53
-18.733  43.345 2.73e-17 2.03e-17 1.49e-17 18.11 -1832.23
-18.715  43.375 2.42e-17 1.84e-17 1.20e-17 26.89 -1832.20
-18.693  43.409 2.98e-17 2.32e-17 1.58e-17 15.83 -1832.13
-18.680  43.435 3.05e-17 2.21e-17 1.42e-17 16.05 -1832.31
-18.648  43.563 2.83e-17 2.07e-17 1.42e-17 29.11 -1832.21
-18.631  43.357 3.33e-17 2.45e-17 1.57e-17 19.01 -1832.34
-18.612  43.443 2.46e-17 1.90e-17 1.18e-17 14.89 -1832.22
-18.606  43.460 3.35e-17 2.16e-17 1.51e-17 18.33 -1832.01
-18.605  43.469 3.04e-17 2.25e-17 1.50e-17 15.17 -1832.21
-18.598  43.655 3.25e-17 2.31e-17 1.63e-17  9.85 -1832.14
-18.598  43.344 3.07e-17 1.98e-17 1.38e-17 15.30 -1832.33
-18.570  43.419 3.23e-17 2.40e-17 1.74e-17 19.39 -1832.43
-18.570  43.379 3.38e-17 2.48e-17 1.49e-17 22.75 -1832.22
-18.568  43.391 2.68e-17 1.97e-17 1.22e-17 19.74 -1832.24
-18.565  43.406 2.51e-17 1.66e-17 1.08e-17 17.38 -1832.24
-18.564  43.402 2.53e-17 1.58e-17 1.19e-17 11.14 -1832.14
-18.564  43.406 2.80e-17 2.09e-17 1.37e-17 19.12 -1832.13
-18.560  43.466 2.54e-17 1.88e-17 1.15e-17 18.92 -1832.28
-18.558  43.317 3.47e-17 2.49e-17 1.65e-17 15.98 -1832.33
-18.556  43.441 2.96e-17 2.43e-17 1.59e-17 19.37 -1832.30
-18.552  43.235 3.36e-17 2.51e-17 1.76e-17 15.68 -1832.23
-18.551  43.320 3.17e-17 2.43e-17 1.69e-17 13.45 -1832.41
-18.547  43.459 3.00e-17 2.25e-17 1.28e-17 14.98 -1832.33
-18.530  43.478 3.64e-17 2.30e-17 1.58e-17 19.19 -1832.18
-18.521  43.412 2.77e-17 1.96e-17 1.38e-17 22.49 -1832.42
-18.520  43.439 2.87e-17 2.10e-17 1.37e-17 21.40 -1832.10
-18.519  43.405 2.73e-17 1.74e-17 1.28e-17 13.15 -1832.35
-18.497  43.391 3.29e-17 2.29e-17 1.72e-17 15.49 -1832.21
-18.463  43.409 3.13e-17 2.27e-17 1.55e-17 20.65 -1832.29
-18.383  43.420 2.45e-17 1.62e-17 1.17e-17 13.73 -1832.41
-18.379  43.207 2.65e-17 1.87e-17 1.28e-17 25.94 -1832.44
