x y flux0 flux1 flux2 width rv
 -4.459 -23.367 2.71e-17 2.35e-17 1.26e-17 16.34 -1895.30
 -4.457 -23.189 2.55e-17 1.59e-17 1.06e-17 13.47 -1895.00
 -4.435 -23.323 1.93e-17 1.88e-17 1.01e-17 15.18 -1895.14
 -4.433 -23.359 2.81e-17 3.07e-17 1.26e-17 17.94 -1895.06
 -4.400 -23.010 2.25e-17 1.52e-17 1.24e-17 16.91 -1894.93
 -4.391 -23.332 4.08e-17 2.23e-17 1.35e-17 14.89 -1895.16
 -4.385 -23.335 2.39e-17 1.98e-17 1.62e-17 14.18 -1895.12
 -4.385 -23.561 3.64e-17 2.14e-17 1.40e-17 22.81 -1895.38
 -4.384 -23.336 3.13e-17 1.99e-17 1.37e-17 16.04 -1895.33
 -4.382 -23.353 1.89e-17 1.64e-17 1.46e-17 12.79 -1895.12
 -4.380 -23.363 2.57e-17 1.82e-17 1.36e-17 16.67 -1895.05
 -4.379 -23.345 1.77e-17 1.54e-17 1.05e-17 12.65 -1895.18
 -4.371 -23.331 2.48e-17 2.40e-17 1.18e-17 19.22 -1895.11
 -4.370 -23.597 1.83e-17 2.17e-17 1.13e-17 21.13 -1895.01
 -4.366 -23.479 2.76e-17 2.51e-17 1.55e-17 16.24 -1895.15
 -4.365 -23.391 3.17e-17 2.19e-17 1.48e-17 15.34 -1895.08
 -4.360 -23.327 2.79e-17 1.71e-17 1.33e-17 22.56 -1895.11
 -4.360 -23.338 2.14e-17 2.11e-17 1.33e-17 20.30 -1895.21
 -4.344 -23.397 2.67e-17 2.02e-17 1.97e-17 27.68 -1895.16
 -4.341 -23.416 2.20e-17 1.64e-17 1.08e-17 12.66 -1895.13
 -4.338 -23.306 2.38e-17 1.86e-17 1.69e-17 14.05 -1895.21
 -4.316 -23.612 3.29e-17 2.39e-17 1.30e-17 20.81 -1895.19
 -4.287 -23.115 3.27e-17 1.75e-17 1.31e-17 20.03 -1895.00
 -4.270 -23.251 2.77e-17 2.33e-17 1.75e-17 14.44 -1895.00
 -4.235 -23.430 3.50e-17 2.16e-17 1.97e-17 21.06 -1895.11
