x y flux0 flux1 flux2 width rv
  5.149  28.536 3.12e-17 2.56e-17 1.27e-17 21.05 -1864.22
  5.247  28.439 2.80e-17 1.63e-17 1.38e-17 15.82 -1864.39
  5.266  28.537 3.04e-17 2.39e-17 1.14e-17 24.20 -1864.50
  5.277  28.608 2.36e-17 1.72e-17 1.13e-17 18.28 -1864.31
  5.278  28.539 3.03e-17 2.85e-17 1.74e-17 20.01 -1864.31
  5.303  28.465 2.01e-17 1.80e-17 1.02e-17 18.20 -1864.47
  5.316  28.503 3.36e-17 2.44e-17 1.61e-17 20.14 -1864.27
  5.317  28.379 2.45e-17 1.92e-17 1.47e-17 26.50 -1864.69
  5.330  28.520 2.78e-17 1.96e-17 1.21e-17 15.76 -1864.34
  5.333  28.492 2.78e-17 2.21e-17 1.04e-17 17.15 -1864.30
  5.338  28.471 3.35e-17 1.85e-17 1.41e-17 16.29 -1864.35
  5.342  28.162 3.22e-17 2.48e-17 1.35e-17 18.92 -1864.20
  5.342  28.595 3.75e-17 3.06e-17 1.99e-17 13.29 -1864.48
  5.345  28.509 2.14e-17 1.77e-17 1.00e-17 15.79 -1864.34
  5.347  28.455 2.26e-17 1.43e-17 1.33e-17 19.97 -1864.39
  5.350  28.510 3.40e-17 2.26e-17 1.57e-17 24.42 -1864.32
  5.352  28.477 3.85e-17 2.28e-17 1.33e-17 23.49 -1864.49
  5.361  28.365 3.04e-17 2.01e-17 1.43e-17 13.44 -1864.32
  5.369  28.460 3.68e-17 2.41e-17 1.57e-17 20.51 -1864.25
  5.372  28.652 2.53e-17 2.33e-17 1.46e-17 15.95 -1864.23
  5.373  28.575 1.89e-17 1.36e-17 9.38e-18 20.05 -1864.22
  5.377  28.562 2.48e-17 1.70e-17 1.10e-17 20.87 -1864.39
  5.383  28.481 3.23e-17 2.37e-17 1.80e-17 18.20 -1864.37
  5.420  28.515 3.44e-17 2.29e-17 1.26e-17 14.89 -1864.22
  5.462  28.443 2.38e-17 1.60e-17 1.37e-17 18.60 -1864.27
  5.497  28.358 3.22e-17 2.04e-17 1.65e-17 17.64 -1864.26
  5.553  28.135 2.43e-17 1.61e-17 1.03e-17 16.89 -1864.46
  5.639  28.282 2.39e-17 1.89e-17 1.37e-17 12.48 -1864.34
  5.819  28.406 2.78e-17 2.03e-17 1.26e-17 17.92 -1864.31
  7.615  18.926 2.41e-17 1.69e-17 1.37e-17 19.97 -2457.98
  7.616  18.943 1.65e-17 1.59e-17 8.73e-18 12.38 -2457.98
  7.641  18.991 1.33e-17 1.13e-17 7.81e-18  9.93 -2457.87
  7.644  19.028 1.91e-17 1.24e-17 7.97e-18 10.53 -2457.88
  7.665  18.951 1.73e-17 1.18e-17 7.54e-18 14.64 -2457.84
  7.690  18.928 1.67e-17 1.21e-17 7.72e-18  8.23 -2457.94
  7.690  18.940 2.05e-17 1.34e-17 1.03e-17 12.76 -2457.92
  7.695  18.935 1.73e-17 1.05e-17 8.65e-18 11.09 -2457.76
  7.696  18.949 1.54e-17 1.09e-17 5.99e-18 11.32 -2457.88
  7.706  18.932 1.27e-17 1.23e-17 7.76e-18 16.27 -2457.80
  7.707  18.939 1.64e-17 1.20e-17 7.32e-18 12.84 -2457.88
  7.721  18.922 1.84e-17 1.15e-17 7.99e-18 10.64 -2457.82
  7.732  18.983 1.45e-17 1.12e-17 6.77e-18 12.16 -2458.06
  7.733  18.850 1.98e-17 1.58e-17 1.03e-17 20.53 -2457.97
  7.733  18.936 1.53e-17 1.26e-17 7.98e-18 15.82 -2457.93
  7.735  19.000 2.01e-17 1.17e-17 1.04e-17 13.70 -2457.86
  7.745  19.094 1.68e-17 1.18e-17 8.14e-18 12.61 -2457.95
  7.801  18.939 1.71e-17 1.25e-17 7.46e-18 11.43 -2458.09
  7.882  18.591 1.86e-17 1.47e-17 8.46e-18 24.53 -2454.88
  8.002  19.047 1.42e-17 1.08e-17 7.44e-18 14.83 -2457.68
  8.014  18.421 1.82e-17 1.60e-17 9.07e-18  9.48 -2455.18
  8.027  18.546 1.55e-17 1.21e-17 8.07e-18 13.15 -2455.04
  8.069  18.456 1.32e-17 1.09e-17 6.47e-18 11.99 -2455.15
  8.110  18.604 1.70e-17 1.12e-17 7.89e-18 12.76 -2455.11
  8.118  18.571 1.76e-17 1.19e-17 8.39e-18 16.59 -2455.24
  8.131  18.739 1.77e-17 1.43e-17 6.99e-18 16.74 -2455.13
  8.135  18.526 1.44e-17 1.26e-17 8.48e-18 10.95 -2454.92
  8.141  18.648 1.65e-17 1.44e-17 8.90e-18 11.24 -2455.10
  8.141  18.686 1.95e-17 1.38e-17 9.11e-18 14.65 -2454.93
  8.148  18.586 1.74e-17 1.40e-17 8.63e-18 12.02 -2454.97
  8.152  18.613 1.79e-17 1.31e-17 8.30e-18 13.59 -2455.10
  8.154  18.639 1.52e-17 1.05e-17 6.91e-18 14.79 -2454.87
  8.154  18.639 1.66e-17 1.34e-17 8.81e-18 16.86 -2455.13
  8.157  18.596 1.68e-17 1.10e-17 6.62e-18 21.11 -2454.97
  8.167  18.654 1.63e-17 1.48e-17 9.15e-18  8.40 -2455.15
  8.176  18.579 1.48e-17 1.08e-17 8.58e-18 14.93 -2455.05
  8.185  18.698 2.05e-17 1.35e-17 8.24e-18 13.57 -2455.13
  8.194  18.577 1.94e-17 1.32e-17 1.01e-17 11.16 -2454.99
  8.209  18.628 1.92e-17 1.01e-17 9.17e-18 17.78 -2455.14
  8.226  18.675 1.57e-17 1.40e-17 8.96e-18 11.82 -2454.96
  8.258  18.670 1.63e-17 1.11e-17 7.92e-18 12.13 -2454.99
  8.455  18.677 1.31e-17 1.00e-17 7.68e-18  7.45 -2455.01
