x y flux0 flux1 flux2 width rv
 23.164  18.947 1.67e-17 1.27e-17 7.13e-18 15.15 -2521.30
 23.171  18.951 1.59e-17 1.33e-17 9.20e-18 12.49 -2521.20
 23.178  19.003 1.58e-17 1.01e-17 9.26e-18 13.68 -2521.26
 23.182  18.922 1.53e-17 1.05e-17 7.23e-18  9.47 -2521.24
 23.195  18.914 1.74e-17 1.16e-17 6.61e-18 14.60 -2521.12
 23.204  18.971 1.67e-17 1.02e-17 7.16e-18 11.05 -2521.24
 23.206  18.974 1.47e-17 1.01e-17 8.04e-18 23.05 -2521.13
 23.208  18.941 1.35e-17 1.03e-17 7.25e-18 18.20 -2521.29
 23.210  19.009 1.53e-17 1.19e-17 7.03e-18 14.55 -2521.14
 23.211  18.955 1.73e-17 1.12e-17 7.48e-18 15.86 -2521.32
 23.211  18.952 1.21e-17 1.23e-17 7.71e-18  8.57 -2521.16
 23.212  18.951 1.81e-17 1.31e-17 8.42e-18 15.54 -2521.28
 23.217  18.944 1.86e-17 1.32e-17 7.28e-18 19.08 -2521.27
 23.217  18.972 2.16e-17 1.61e-17 1.01e-17 10.98 -2521.10
 23.220  18.973 1.87e-17 1.30e-17 9.84e-18 15.00 -2521.27
 23.226  19.019 1.83e-17 1.13e-17 7.09e-18 16.23 -2521.22
 23.232  18.966 1.55e-17 1.04e-17 6.76e-18 16.66 -2521.19
 23.239  18.966 1.33e-17 1.12e-17 6.59e-18 20.27 -2521.24
 23.240  18.935 1.84e-17 1.23e-17 9.56e-18 18.34 -2521.21
 23.241  18.978 1.61e-17 1.41e-17 6.85e-18 16.29 -2521.20
 23.241  18.936 2.39e-17 1.37e-17 8.79e-18 13.07 -2521.42
 23.247  19.003 2.19e-17 1.25e-17 1.03e-17 15.54 -2521.17
 23.251  18.980 1.58e-17 1.18e-17 6.62e-18 13.57 -2521.26
 23.293  19.005 1.88e-17 1.49e-17 8.01e-18 19.26 -2521.28
 23.306  18.990 1.43e-17 1.21e-17 9.07e-18 12.76 -2521.25
