x y flux0 flux1 flux2 width rv
 41.259  27.225 1.34e-17 1.21e-17 6.83e-18 17.90 -2510.58
 41.372  27.421 2.17e-17 1.39e-17 8.29e-18 12.09 -2510.69
 41.442  27.347 1.70e-17 1.03e-17 6.74e-18 12.83 -2510.67
 41.470  27.409 1.96e-17 1.07e-17 6.62e-18  8.55 -2510.78
 41.471  27.418 1.74e-17 1.42e-17 9.32e-18 13.24 -2510.62
 41.478  27.397 1.60e-17 1.22e-17 7.22e-18  7.42 -2510.79
 41.486  27.394 1.98e-17 1.27e-17 7.03e-18 11.93 -2510.67
 41.514  27.396 1.69e-17 1.20e-17 6.41e-18  8.68 -2510.63
 41.526  27.462 1.48e-17 1.20e-17 8.36e-18 14.99 -2510.72
 41.530  27.478 1.63e-17 1.02e-17 6.42e-18 15.58 -2510.57
 41.560  27.459 1.63e-17 1.15e-17 9.06e-18 13.14 -2510.50
 41.610  27.423 1.39e-17 1.11e-17 6.23e-18 14.75 -2510.52
 41.678  27.469 1.48e-17 1.06e-17 7.06e-18 17.27 -2510.61
