x y flux0 flux1 flux2 width rv
-34.246 -35.217 3.81e-17 3.18e-17 1.91e-17 26.83 -1509.45
-34.002 -34.792 4.79e-17 4.36e-17 2.12e-17 27.39 -1509.66
-33.939 -34.626 5.77e-17 3.59e-17 2.94e-17 26.23 -1509.47
-33.936 -34.859 4.83e-17 3.51e-17 1.92e-17 27.90 -1509.61
-33.889 -34.735 3.47e-17 2.90e-17 1.69e-17 28.41 -1509.57
-33.859 -34.612 5.11e-17 3.10e-17 3.05e-17 23.64 -1509.67
-33.852 -34.645 3.97e-17 3.25e-17 2.16e-17 20.01 -1509.45
-33.845 -34.371 4.89e-17 2.62e-17 2.27e-17 17.33 -1509.65
-33.825 -34.619 3.77e-17 3.50e-17 1.75e-17 23.74 -1509.73
-33.813 -34.742 6.72e-17 3.56e-17 3.05e-17 21.71 -1509.55
-33.812 -34.741 4.84e-17 3.72e-17 2.44e-17 25.24 -1509.59
-33.810 -34.734 4.65e-17 2.65e-17 1.64e-17 29.72 -1509.80
-33.809 -34.811 4.93e-17 3.01e-17 1.83e-17 18.34 -1509.71
-33.800 -34.725 4.24e-17 3.87e-17 2.46e-17 28.17 -1509.55
-33.795 -34.809 7.08e-17 4.54e-17 2.11e-17 12.93 -1509.52
-33.790 -34.790 4.71e-17 2.51e-17 1.96e-17 20.01 -1509.71
-33.784 -34.683 4.12e-17 3.14e-17 2.43e-17 20.35 -1509.58
-33.784 -34.919 5.53e-17 2.77e-17 2.82e-17 29.16 -1509.61
-33.783 -34.664 4.89e-17 3.55e-17 2.19e-17 18.74 -1509.45
-33.765 -34.697 5.99e-17 2.91e-17 2.45e-17 20.09 -1509.76
-33.759 -34.823 4.23e-17 2.79e-17 2.06e-17 33.68 -1509.76
-33.698 -34.724 4.79e-17 3.17e-17 3.13e-17 20.24 -1509.66
-33.685 -34.589 4.60e-17 3.25e-17 2.38e-17 19.11 -1509.55
-33.588 -34.693 3.73e-17 3.05e-17 2.87e-17 27.14 -1509.77
-30.581 -39.958 6.31e-17 3.90e-17 3.17e-17 30.75 -1329.46
-30.525 -39.941 9.05e-17 3.63e-17 3.10e-17 16.37 -1329.56
-30.518 -40.004 5.78e-17 3.55e-17 2.38e-17 33.97 -1329.39
-30.489 -39.865 6.48e-17 3.82e-17 2.53e-17 25.66 -1329.43
-30.488 -39.971 5.43e-17 3.55e-17 2.41e-17 30.27 -1329.36
-30.486 -39.889 4.71e-17 3.24e-17 2.16e-17 31.88 -1329.35
-30.479 -39.840 6.03e-17 3.07e-17 2.68e-17 24.25 -1329.56
-30.479 -39.710 4.42e-17 2.68e-17 2.46e-17 19.70 -1329.42
-30.471 -39.774 6.28e-17 5.23e-17 2.62e-17 31.49 -1329.47
-30.467 -39.865 6.78e-17 4.59e-17 3.21e-17 23.16 -1329.52
-30.456 -39.832 5.02e-17 3.92e-17 1.83e-17 21.88 -1329.50
-30.450 -39.747 4.98e-17 3.90e-17 2.95e-17 23.68 -1329.50
-30.444 -39.849 5.98e-17 3.20e-17 2.41e-17 32.99 -1329.48
-30.442 -39.866 4.62e-17 4.86e-17 3.28e-17 28.30 -1329.49
-30.439 -39.860 6.72e-17 4.14e-17 3.40e-17 24.23 -1329.40
-30.434 -39.862 7.07e-17 4.45e-17 3.11e-17 16.03 -1329.43
-30.431 -39.881 5.75e-17 3.95e-17 2.54e-17 25.18 -1329.42
-30.428 -39.861 6.58e-17 3.78e-17 2.57e-17 25.72 -1329.55
-30.425 -39.857 2.97e-17 3.51e-17 2.38e-17 16.75 -1329.56
-30.419 -39.740 6.37e-17 3.82e-17 2.55e-17 25.80 -1329.53
-30.417 -39.852 7.43e-17 4.66e-17 3.45e-17 19.14 -1329.53
-30.412 -39.839 4.42e-17 3.43e-17 1.65e-17 22.64 -1329.60
-30.412 -39.864 4.01e-17 2.92e-17 2.24e-17 17.74 -1329.40
-30.407 -39.831 6.77e-17 4.14e-17 2.46e-17 28.53 -1329.45
-30.403 -39.832 5.85e-17 3.96e-17 3.94e-17 24.73 -1329.62
-30.394 -39.846 5.95e-17 4.95e-17 2.59e-17 37.23 -1329.50
-30.394 -39.906 5.03e-17 3.74e-17 3.93e-17 25.97 -1329.63
-30.393 -40.035 4.95e-17 2.90e-17 2.29e-17 18.25 -1329.57
-30.388 -40.023 4.32e-17 2.85e-17 2.59e-17 40.51 -1329.53
-30.338 -39.739 8.91e-17 3.33e-17 2.88e-17 22.71 -1329.62
-30.280 -39.951 3.94e-17 2.19e-17 1.37e-17 23.82 -1329.59
-30.236 -39.765 8.61e-17 5.70e-17 2.82e-17 28.72 -1329.44
