x y flux0 flux1 flux2 width rv
-22.270 -26.301 1.95e-17 1.76e-17 1.16e-17 17.79 -2179.71
-22.260 -26.298 2.35e-17 1.47e-17 9.70e-18 20.89 -2179.56
-22.226 -26.336 1.82e-17 1.24e-17 9.64e-18 12.24 -2179.75
-22.219 -26.342 1.17e-17 1.21e-17 5.82e-18 14.26 -2179.81
-22.218 -26.335 1.76e-17 1.15e-17 6.92e-18 10.55 -2179.59
-22.212 -26.257 1.98e-17 1.54e-17 9.68e-18 12.55 -2179.65
-22.205 -26.286 2.22e-17 1.67e-17 1.56e-17 10.58 -2179.62
-22.203 -26.263 1.83e-17 1.56e-17 1.13e-17 19.79 -2179.87
-22.199 -26.249 1.18e-17 1.29e-17 9.81e-18 19.54 -2179.60
-22.192 -26.173 1.33e-17 1.48e-17 5.76e-18 15.63 -2179.65
-22.188 -26.233 2.01e-17 1.50e-17 7.68e-18 18.74 -2179.68
-22.186 -26.256 2.22e-17 1.52e-17 9.96e-18 12.08 -2179.62
-22.185 -26.269 2.79e-17 1.83e-17 1.23e-17 21.43 -2179.59
-22.185 -26.257 1.85e-17 1.10e-17 9.32e-18 10.17 -2179.74
-22.179 -26.266 1.80e-17 1.02e-17 6.74e-18 16.90 -2179.68
-22.176 -26.200 2.44e-17 1.35e-17 1.01e-17 17.83 -2179.59
-22.175 -26.279 1.30e-17 1.08e-17 6.43e-18 16.40 -2179.71
-22.162 -26.265 2.37e-17 1.40e-17 9.23e-18  9.26 -2179.69
-22.154 -26.282 2.10e-17 1.24e-17 1.08e-17 17.91 -2179.67
-22.136 -26.246 2.79e-17 1.61e-17 1.35e-17 11.25 -2179.63
-22.135 -26.263 2.18e-17 1.60e-17 9.96e-18 15.44 -2179.62
-22.123 -26.134 2.52e-17 2.36e-17 1.20e-17 16.88 -2179.58
