x y flux0 flux1 flux2 width rv
 -7.817 -23.325 2.06e-17 1.02e-17 8.68e-18 11.60 -2497.27
 -7.722 -23.046 1.28e-17 1.18e-17 6.76e-18 17.56 -2497.38
 -7.686 -23.153 1.74e-17 1.39e-17 6.31e-18 10.72 -2497.26
 -7.682 -23.095 1.49e-17 1.16e-17 1.07e-17 10.97 -2497.41
 -7.674 -23.157 1.96e-17 1.61e-17 7.94e-18  9.75 -2497.27
 -7.672 -23.008 1.72e-17 1.12e-17 7.38e-18 18.41 -2497.50
 -7.670 -23.143 2.02e-17 1.58e-17 7.64e-18 15.29 -2497.56
 -7.666 -23.134 1.52e-17 1.04e-17 7.00e-18 10.27 -2497.31
 -7.661 -23.132 1.67e-17 1.11e-17 8.27e-18 11.21 -2497.37
 -7.660 -23.128 1.25e-17 1.61e-17 7.74e-18 20.70 -2497.35
 -7.657 -23.129 1.37e-17 1.01e-17 7.50e-18 10.10 -2497.48
 -7.656 -23.101 1.62e-17 1.61e-17 9.31e-18 13.47 -2497.21
 -7.654 -23.142 1.78e-17 1.52e-17 1.06e-17 12.32 -2497.40
 -7.653 -23.158 1.95e-17 1.34e-17 1.04e-17 13.52 -2497.48
 -7.649 -23.137 1.37e-17 1.21e-17 7.90e-18 16.41 -2497.42
 -7.643 -23.144 1.37e-17 1.20e-17 6.08e-18 20.75 -2497.31
 -7.616 -23.151 1.60e-17 1.08e-17 9.23e-18 11.05 -2497.29
 -7.587 -23.167 1.88e-17 1.39e-17 9.04e-18 11.15 -2497.53
 -7.576 -23.067 1.53e-17 1.14e-17 7.02e-18 23.76 -2497.48
