x y flux0 flux1 flux2 width rv
  4.605 -10.820 1.46e-17 1.68e-17 1.11e-17 15.19 -2377.71
  4.634 -11.011 2.51e-17 1.57e-17 7.75e-18 11.54 -2377.73
  4.642 -11.037 2.92e-17 1.28e-17 9.41e-18 13.50 -2377.73
  4.662 -10.822 1.85e-17 1.45e-17 1.05e-17 11.25 -2377.77
  4.691 -10.856 2.35e-17 1.55e-17 1.08e-17 13.09 -2377.82
  4.708 -10.920 1.69e-17 1.37e-17 9.40e-18 13.03 -2377.87
  4.708 -10.932 1.85e-17 1.15e-17 1.19e-17 21.94 -2377.77
  4.713 -10.883 1.72e-17 1.35e-17 9.64e-18 12.25 -2377.86
  4.713 -10.939 1.71e-17 1.23e-17 9.88e-18 15.27 -2377.81
  4.714 -10.894 2.00e-17 1.20e-17 8.92e-18 20.90 -2377.90
  4.715 -10.819 1.95e-17 1.37e-17 1.12e-17  9.77 -2377.85
  4.718 -10.876 1.83e-17 1.19e-17 8.41e-18 12.50 -2377.71
  4.719 -10.885 2.01e-17 1.46e-17 8.07e-18 10.68 -2377.99
  4.733 -10.878 1.35e-17 1.08e-17 8.07e-18 13.66 -2377.79
  4.740 -10.861 1.56e-17 1.59e-17 6.98e-18 20.51 -2377.82
  4.742 -10.884 1.82e-17 1.50e-17 8.23e-18 20.30 -2377.68
  4.755 -10.890 2.52e-17 1.49e-17 1.37e-17 11.31 -2377.74
  4.762 -10.911 1.83e-17 1.05e-17 8.75e-18  9.30 -2377.78
  4.769 -10.879 1.41e-17 1.24e-17 8.86e-18 15.84 -2377.85
  4.773 -10.878 2.00e-17 1.29e-17 6.54e-18 14.85 -2377.85
  6.368 -10.293 5.76e-16 3.29e-16 2.64e-16 102.80 -493.10
  6.628 -10.445 4.07e-16 4.32e-16 1.82e-16 115.97 -492.77
  6.782 -10.432 5.89e-16 4.45e-16 2.86e-16 62.65 -493.02
  6.812 -10.500 4.07e-16 3.12e-16 2.51e-16 61.22 -493.10
  6.819 -10.357 4.13e-16 3.55e-16 2.50e-16 65.24 -493.02
  6.823 -10.295 5.08e-16 2.92e-16 2.40e-16 66.89 -493.08
  6.841 -10.234 5.03e-16 4.11e-16 2.87e-16 62.75 -492.88
  6.842 -10.287 3.25e-16 2.29e-16 1.43e-16 77.58 -492.92
  6.845 -10.301 5.54e-16 3.73e-16 2.08e-16 59.48 -493.00
  6.849 -10.007 4.43e-16 3.05e-16 1.48e-16 54.10 -492.83
  6.872 -10.357 3.37e-16 3.30e-16 2.39e-16 55.10 -492.93
  6.877 -10.305 3.73e-16 3.50e-16 2.24e-16 76.37 -492.98
  6.887 -10.206 4.80e-16 3.20e-16 2.60e-16 71.51 -493.00
  6.908 -10.526 6.02e-16 4.40e-16 2.26e-16 65.51 -492.94
  6.963 -10.266 3.20e-16 2.72e-16 1.73e-16 63.97 -493.07
  6.998 -10.333 5.04e-16 3.74e-16 1.91e-16 59.81 -493.09
  7.021 -10.012 4.01e-16 3.19e-16 1.96e-16 67.89 -492.89
  7.054 -10.188 3.72e-16 2.60e-16 1.69e-16 61.01 -492.87
  7.061 -10.145 3.03e-16 2.57e-16 1.55e-16 61.96 -492.75
  7.221 -10.002 3.13e-16 4.16e-16 1.84e-16 61.71 -492.77
 11.170  -2.450 6.71e-17 4.43e-17 2.50e-17 29.75 -1488.70
 11.770  -2.069 4.03e-17 5.30e-17 2.55e-17 20.14 -1488.57
 11.852  -2.450 5.74e-17 4.07e-17 2.44e-17 28.38 -1488.91
 11.869  -2.158 4.41e-17 2.90e-17 1.66e-17 17.51 -1488.94
 11.888  -2.630 3.76e-17 2.70e-17 2.72e-17 25.03 -1488.83
 11.894  -2.066 4.64e-17 3.96e-17 2.80e-17 15.38 -1488.63
 11.918  -2.236 7.72e-17 4.30e-17 2.32e-17 27.06 -1488.64
 11.919  -2.402 4.39e-17 2.73e-17 2.50e-17 24.40 -1488.66
 11.938  -2.354 3.82e-17 2.23e-17 1.85e-17 31.66 -1488.60
 11.942  -2.320 4.52e-17 2.70e-17 2.37e-17 25.01 -1488.89
 11.962  -2.323 3.96e-17 3.02e-17 1.97e-17 24.93 -1488.74
 11.965  -2.328 3.50e-17 2.07e-17 1.72e-17 33.12 -1488.81
 11.966  -2.330 6.94e-17 4.21e-17 3.14e-17 29.13 -1488.80
 11.974  -2.337 4.74e-17 4.22e-17 2.93e-17 28.65 -1488.70
 11.977  -2.330 4.57e-17 3.62e-17 2.65e-17 19.46 -1488.78
 11.985  -2.366 5.27e-17 3.16e-17 2.01e-17 26.57 -1488.64
 12.003  -2.187 4.32e-17 2.43e-17 1.85e-17 23.87 -1488.74
 12.004  -2.319 3.94e-17 3.10e-17 2.25e-17 23.97 -1488.75
 12.033  -2.411 5.57e-17 4.26e-17 1.63e-17 35.48 -1488.79
 12.042  -3.831 5.17e-17 3.61e-17 2.19e-17 26.64 -1488.53
 12.058  -2.263 4.34e-17 2.76e-17 1.46e-17 23.72 -1488.61
 12.113  -2.334 4.90e-17 3.54e-17 1.98e-17 30.68 -1488.77
 12.115  -2.300 4.64e-17 2.96e-17 1.63e-17 15.80 -1488.69
 12.149  -1.874 4.91e-17 3.33e-17 2.65e-17 19.16 -1488.73
 12.181  -2.248 2.85e-17 2.54e-17 1.71e-17 19.77 -1488.58
 12.193  -2.885 4.14e-17 4.21e-17 2.99e-17 33.68 -1488.91
 12.267  -2.094 4.13e-17 1.91e-17 1.57e-17 20.67 -1488.67
