x y flux0 flux1 flux2 width rv
 19.301  32.493 1.19e-17 1.03e-17 6.35e-18 12.09 -2586.34
 19.321  32.686 1.85e-17 1.16e-17 8.19e-18 10.14 -2586.28
 19.343  32.639 1.57e-17 1.11e-17 7.75e-18 14.60 -2586.26
 19.348  32.781 1.44e-17 1.15e-17 6.96e-18 15.98 -2586.32
 19.357  32.671 1.44e-17 1.18e-17 7.14e-18 13.43 -2586.26
 19.368  32.703 1.45e-17 1.12e-17 8.37e-18 10.97 -2586.30
 19.386  32.682 2.09e-17 1.45e-17 9.18e-18 11.96 -2586.29
 19.389  32.660 1.51e-17 1.02e-17 6.56e-18  8.55 -2586.39
 19.392  32.668 1.40e-17 1.05e-17 7.11e-18 13.59 -2586.19
 19.393  32.677 1.49e-17 1.13e-17 7.68e-18 11.49 -2586.40
 19.429  32.404 2.03e-17 1.08e-17 8.40e-18 10.69 -2586.38
 19.444  32.689 1.43e-17 1.09e-17 6.80e-18 11.21 -2586.36
 19.505  32.809 1.31e-17 1.07e-17 6.42e-18 18.77 -2586.13
 19.620  32.456 1.65e-17 1.23e-17 8.45e-18 15.49 -2586.38
