x y flux0 flux1 flux2 width rv
 32.464  19.511 2.11e-17 1.72e-17 9.54e-18 17.49 -2106.01
 32.542  19.505 2.91e-17 1.52e-17 1.09e-17 16.75 -2106.06
 32.546  19.591 2.91e-17 1.93e-17 1.39e-17 12.91 -2105.95
 32.548  19.770 2.70e-17 2.12e-17 1.29e-17 21.45 -2105.90
 32.567  19.582 2.17e-17 1.43e-17 1.21e-17 17.23 -2106.11
 32.575  19.684 1.75e-17 1.40e-17 9.63e-18 16.54 -2106.16
 32.585  19.695 2.76e-17 1.75e-17 1.54e-17 18.82 -2106.01
 32.590  19.629 3.10e-17 2.39e-17 1.62e-17 15.69 -2106.06
 32.614  19.667 2.35e-17 1.79e-17 1.08e-17 18.30 -2106.14
 32.620  19.660 2.44e-17 1.54e-17 1.21e-17 20.03 -2106.00
 32.621  19.676 1.97e-17 1.65e-17 1.25e-17 14.54 -2106.00
 32.621  19.663 2.17e-17 1.82e-17 1.13e-17 17.28 -2105.78
 32.622  19.660 2.23e-17 1.92e-17 1.33e-17 19.56 -2105.82
 32.627  19.525 3.01e-17 1.89e-17 1.26e-17 14.53 -2105.99
 32.628  19.665 2.07e-17 1.42e-17 1.01e-17 13.47 -2106.02
 32.631  19.708 2.47e-17 1.57e-17 8.87e-18 11.80 -2105.79
 32.637  19.843 2.81e-17 1.93e-17 1.21e-17 12.70 -2105.86
 32.641  19.631 2.77e-17 2.10e-17 1.43e-17  9.64 -2105.93
 32.652  19.725 2.27e-17 1.58e-17 1.23e-17 13.59 -2105.97
 32.654  19.270 2.93e-17 2.00e-17 1.01e-17 15.64 -2106.00
 32.655  19.306 2.74e-17 1.82e-17 1.36e-17 20.61 -2106.01
 32.660  19.629 2.10e-17 1.49e-17 1.06e-17 25.03 -2105.93
 32.674  19.753 1.94e-17 1.18e-17 9.28e-18 16.85 -2105.91
 32.677  19.663 2.47e-17 1.48e-17 1.20e-17 17.96 -2105.84
 32.681  19.663 1.73e-17 1.26e-17 6.79e-18 11.89 -2106.05
 32.683  19.655 2.01e-17 1.39e-17 9.13e-18 19.22 -2105.99
 32.691  19.610 2.78e-17 1.45e-17 8.15e-18 20.43 -2106.00
 32.705  19.551 2.17e-17 1.56e-17 1.06e-17 18.48 -2105.70
 32.707  19.960 2.25e-17 1.76e-17 1.27e-17 17.99 -2105.89
 32.718  19.723 2.13e-17 1.55e-17 7.93e-18 14.95 -2105.99
 32.728  19.700 2.77e-17 1.67e-17 1.30e-17  9.59 -2105.91
 32.745  19.720 2.07e-17 1.89e-17 8.50e-18 19.91 -2106.02
 32.833  19.564 1.99e-17 1.58e-17 1.03e-17 17.09 -2106.08
 34.628  15.011 2.25e-17 1.76e-17 1.21e-17 18.37 -2174.59
 34.629  15.014 2.09e-17 1.59e-17 9.97e-18 14.88 -2174.57
 34.767  15.067 1.41e-17 1.24e-17 8.09e-18 19.09 -2174.54
 34.816  15.035 2.48e-17 1.17e-17 9.46e-18 13.81 -2174.54
 34.830  15.205 2.25e-17 1.50e-17 1.08e-17 19.95 -2174.38
