x y flux0 flux1 flux2 width rv
-33.602   8.142 2.36e-17 1.40e-17 9.41e-18 11.32 -2278.09
-33.596   8.049 2.29e-17 1.55e-17 9.88e-18 11.04 -2278.07
-33.581   8.123 1.42e-17 1.50e-17 8.47e-18 10.82 -2278.24
-33.578   8.136 2.02e-17 1.36e-17 1.00e-17 17.45 -2278.25
-33.577   8.062 2.18e-17 1.12e-17 8.26e-18 13.26 -2278.00
-33.577   8.080 1.98e-17 1.28e-17 7.70e-18  8.75 -2277.98
-33.575   8.084 1.99e-17 1.58e-17 9.70e-18 14.76 -2278.12
-33.574   8.099 1.57e-17 1.37e-17 8.86e-18 13.00 -2278.12
-33.572   8.099 2.32e-17 2.20e-17 1.08e-17 13.20 -2278.01
-33.567   8.078 1.78e-17 1.38e-17 8.33e-18 12.39 -2278.19
-33.567   8.080 1.55e-17 1.37e-17 7.10e-18 15.65 -2278.14
-33.567   8.080 1.53e-17 1.35e-17 9.08e-18 10.05 -2278.02
-33.567   8.078 1.77e-17 1.21e-17 9.38e-18 13.63 -2278.08
-33.566   8.093 1.72e-17 1.24e-17 7.81e-18 10.31 -2278.07
-33.565   8.029 2.23e-17 1.29e-17 1.03e-17 17.09 -2278.04
-33.565   8.076 1.42e-17 1.09e-17 7.25e-18  9.51 -2277.97
-33.554   8.055 1.72e-17 1.46e-17 8.99e-18 19.19 -2277.99
-33.551   8.082 2.25e-17 1.68e-17 9.44e-18 14.68 -2278.09
-33.542   8.123 2.17e-17 1.26e-17 9.16e-18 14.76 -2278.03
-33.541   8.084 1.67e-17 1.55e-17 1.09e-17 15.88 -2278.24
-33.537   8.072 1.71e-17 1.68e-17 1.02e-17 16.15 -2278.32
-33.536   8.075 1.51e-17 1.19e-17 7.30e-18 15.75 -2278.12
-33.514   8.082 2.30e-17 1.08e-17 8.65e-18 13.01 -2278.20
