x y flux0 flux1 flux2 width rv
-17.317  -6.198 1.71e-17 1.26e-17 7.81e-18 15.76 -2262.99
-17.162  -6.018 1.69e-17 1.45e-17 7.52e-18  9.41 -2263.13
-17.128  -5.930 1.33e-17 1.20e-17 7.17e-18 11.90 -2262.93
-17.120  -5.914 1.22e-17 1.07e-17 6.00e-18 11.10 -2263.04
-17.082  -5.946 2.08e-17 1.59e-17 6.65e-18  9.08 -2263.00
-17.075  -5.963 2.20e-17 1.78e-17 9.41e-18 17.50 -2263.12
-17.073  -5.960 1.57e-17 1.58e-17 1.00e-17 21.57 -2262.93
-17.062  -5.933 2.02e-17 1.51e-17 7.36e-18 18.69 -2262.99
-17.062  -5.960 1.90e-17 1.63e-17 1.03e-17 11.84 -2263.17
-17.058  -6.020 2.65e-17 1.55e-17 9.20e-18 17.83 -2262.96
-17.055  -5.963 2.77e-17 1.46e-17 1.15e-17 14.77 -2263.19
-17.053  -5.961 1.86e-17 1.47e-17 1.24e-17 10.48 -2263.23
-17.052  -6.073 2.32e-17 1.81e-17 1.11e-17 13.70 -2263.05
-17.045  -6.073 1.92e-17 1.11e-17 7.60e-18 17.57 -2262.91
-17.039  -5.887 2.75e-17 1.86e-17 1.22e-17 14.50 -2263.10
-17.035  -5.956 1.64e-17 1.14e-17 6.99e-18 12.93 -2263.23
-17.027  -5.975 1.78e-17 1.57e-17 7.74e-18  7.58 -2263.03
-17.015  -6.054 1.48e-17 1.27e-17 6.46e-18 21.42 -2263.17
-17.014  -5.585 2.19e-17 1.30e-17 8.36e-18 15.53 -2262.89
-17.012  -5.910 1.95e-17 1.28e-17 8.08e-18 11.08 -2263.14
-17.008  -6.009 2.33e-17 1.26e-17 9.47e-18 14.05 -2263.09
-17.000  -6.488 2.05e-17 1.41e-17 9.84e-18 15.72 -2263.14
-16.988  -6.058 1.63e-17 1.33e-17 1.00e-17 16.81 -2263.14
-16.982  -5.923 2.29e-17 1.19e-17 8.63e-18 15.71 -2262.91
-16.955  -5.927 2.21e-17 1.18e-17 7.24e-18 12.24 -2263.06
-16.664  -6.174 1.79e-17 1.71e-17 1.11e-17 13.50 -2263.06
