x y flux0 flux1 flux2 width rv
-12.918   5.255 4.13e-17 3.35e-17 2.21e-17 27.77 -1255.30
-12.914   5.249 4.45e-17 3.64e-17 2.39e-17 36.13 -1255.49
-12.913   5.216 7.06e-17 3.11e-17 2.10e-17 29.44 -1255.48
-12.903   5.245 4.82e-17 3.71e-17 2.79e-17 26.49 -1255.39
-12.883   5.178 6.81e-17 4.03e-17 3.67e-17 29.25 -1255.40
-12.880   5.259 4.66e-17 4.38e-17 2.38e-17 26.26 -1255.41
-12.873   5.195 4.78e-17 4.51e-17 2.71e-17 25.61 -1255.48
-12.869   5.232 5.53e-17 4.46e-17 3.96e-17 30.81 -1255.31
-12.864   5.202 4.32e-17 3.69e-17 2.25e-17 41.01 -1255.30
-12.862   5.203 5.95e-17 5.00e-17 3.07e-17 30.63 -1255.45
-12.862   5.196 8.88e-17 4.69e-17 2.91e-17 22.29 -1255.54
-12.861   5.204 8.49e-17 5.99e-17 4.06e-17 28.44 -1255.29
-12.861   5.222 5.36e-17 4.24e-17 2.30e-17 22.84 -1255.39
-12.860   5.196 4.32e-17 3.35e-17 1.93e-17 37.02 -1255.45
-12.859   5.204 5.51e-17 3.78e-17 3.09e-17 18.34 -1255.42
-12.858   5.203 4.69e-17 4.38e-17 2.89e-17 37.12 -1255.41
-12.855   5.179 6.22e-17 5.38e-17 3.20e-17 25.28 -1255.53
-12.855   5.224 6.61e-17 3.95e-17 3.18e-17 23.50 -1255.49
-12.854   5.207 6.00e-17 4.66e-17 4.06e-17 31.19 -1255.33
-12.852   5.179 4.37e-17 2.96e-17 2.25e-17 24.84 -1255.28
-12.843   5.203 5.61e-17 3.70e-17 2.54e-17 29.69 -1255.47
-12.842   5.211 6.35e-17 3.89e-17 3.70e-17 20.18 -1255.43
-12.841   5.262 5.36e-17 3.80e-17 2.73e-17 22.13 -1255.50
-12.835   5.171 5.28e-17 3.85e-17 2.63e-17 30.36 -1255.19
-12.834   5.158 7.34e-17 5.38e-17 3.45e-17 28.60 -1255.47
-12.830   5.285 6.41e-17 3.27e-17 2.60e-17 29.25 -1255.49
-12.818   5.189 8.50e-17 5.44e-17 3.69e-17 36.60 -1255.50
 -5.347   8.375 1.69e-17 1.28e-17 9.71e-18 14.90 -2537.00
 -5.288   8.355 1.31e-17 1.18e-17 6.70e-18 13.41 -2537.08
 -5.281   8.390 1.89e-17 1.35e-17 9.25e-18 18.88 -2536.87
 -5.265   8.357 1.40e-17 1.33e-17 6.94e-18  8.71 -2536.74
 -5.257   8.347 1.81e-17 1.18e-17 9.13e-18 12.19 -2537.08
 -5.232   8.327 1.43e-17 1.12e-17 6.52e-18 13.26 -2537.06
 -5.117   8.514 1.47e-17 1.11e-17 7.74e-18 12.73 -2537.04
