x y flux0 flux1 flux2 width rv
  1.056  12.777 3.81e-17 2.13e-17 1.93e-17 18.19 -1603.32
  1.068  12.682 4.58e-17 2.95e-17 2.06e-17  9.26 -1603.39
  1.117  12.304 4.44e-17 3.24e-17 1.63e-17 17.67 -1603.54
  1.138  12.969 4.62e-17 2.95e-17 2.21e-17 17.61 -1603.16
  1.160  12.174 5.25e-17 2.79e-17 2.36e-17 22.49 -1603.37
  1.182  12.689 3.43e-17 2.26e-17 1.80e-17 19.23 -1603.52
  1.185  12.462 3.16e-17 3.12e-17 2.11e-17 15.02 -1603.37
  1.190  12.755 3.69e-17 2.97e-17 1.56e-17 22.64 -1603.34
  1.192  12.593 4.83e-17 3.32e-17 1.77e-17 16.15 -1603.43
  1.225  12.491 4.43e-17 2.73e-17 1.75e-17 14.74 -1603.54
  1.239  12.570 3.43e-17 2.93e-17 1.53e-17 19.95 -1603.46
  1.248  12.493 3.40e-17 2.67e-17 1.77e-17 31.51 -1603.63
  1.256  12.520 3.45e-17 3.48e-17 2.12e-17 15.84 -1603.22
  1.259  12.603 3.74e-17 2.50e-17 1.59e-17 17.42 -1603.51
  1.277  12.544 2.88e-17 2.94e-17 1.43e-17 22.93 -1603.42
  1.296  12.576 4.60e-17 2.69e-17 1.88e-17 27.70 -1603.45
  1.298  12.579 3.06e-17 2.36e-17 1.71e-17 19.30 -1603.42
  1.304  12.565 3.62e-17 2.97e-17 2.39e-17 18.00 -1603.54
  1.304  12.579 4.06e-17 3.74e-17 2.63e-17 20.90 -1603.43
  1.310  12.538 2.40e-17 2.35e-17 1.49e-17 17.86 -1603.41
  1.315  12.451 2.92e-17 2.13e-17 1.65e-17 21.96 -1603.48
  1.353  12.608 3.52e-17 2.06e-17 1.76e-17 13.38 -1603.24
  1.372  12.692 3.17e-17 2.17e-17 1.65e-17 17.34 -1603.35
  1.566  12.881 4.67e-17 2.56e-17 1.86e-17 13.52 -1603.25
  1.691  12.413 4.06e-17 2.58e-17 2.28e-17 13.32 -1603.35
 10.739   5.082 4.24e-17 3.53e-17 1.90e-17 13.93 -1603.41
 10.765   4.980 3.39e-17 2.87e-17 1.98e-17 17.32 -1603.44
 10.770   4.705 4.17e-17 2.73e-17 2.08e-17 30.59 -1603.62
 10.805   4.899 3.69e-17 2.63e-17 2.27e-17 15.86 -1603.58
 10.819   4.979 5.02e-17 3.40e-17 2.10e-17 20.56 -1603.57
 10.829   4.934 3.19e-17 2.47e-17 1.75e-17 18.30 -1603.51
 10.847   4.986 4.56e-17 2.17e-17 2.30e-17 28.00 -1603.59
 10.863   4.853 3.27e-17 2.64e-17 1.91e-17 22.66 -1603.68
 10.867   4.890 3.63e-17 3.45e-17 2.59e-17 27.58 -1603.65
 10.874   4.800 4.19e-17 3.53e-17 2.19e-17 15.77 -1603.51
 10.875   4.892 3.82e-17 2.71e-17 1.63e-17 20.78 -1603.68
 10.877   4.880 3.93e-17 2.93e-17 1.81e-17 14.78 -1603.59
 10.880   4.951 4.04e-17 3.30e-17 1.58e-17 25.47 -1603.57
 10.885   4.885 3.87e-17 3.01e-17 2.22e-17 10.00 -1603.61
 10.889   4.947 4.41e-17 3.41e-17 2.26e-17 27.16 -1603.50
 10.895   4.882 4.62e-17 2.30e-17 2.07e-17 21.78 -1603.47
 10.896   4.880 3.86e-17 2.37e-17 1.66e-17 15.73 -1603.58
 10.897   4.880 3.83e-17 3.33e-17 2.33e-17 16.06 -1603.63
 10.900   4.950 4.64e-17 2.62e-17 2.01e-17 23.39 -1603.70
 10.905   4.882 3.72e-17 2.28e-17 1.63e-17 16.41 -1603.45
 10.917   4.875 2.75e-17 2.23e-17 1.38e-17 21.51 -1603.66
 10.921   4.869 3.72e-17 2.48e-17 1.38e-17 26.36 -1603.45
 10.926   4.921 2.47e-17 1.56e-17 1.44e-17 24.08 -1603.69
 10.936   4.938 5.11e-17 2.88e-17 1.91e-17 20.45 -1603.54
 10.972   4.897 3.68e-17 3.24e-17 1.83e-17 19.45 -1603.53
 11.055   4.707 3.60e-17 2.03e-17 2.20e-17 19.37 -1603.64
 11.093   4.588 3.48e-17 2.77e-17 1.81e-17 16.34 -1603.55
 11.170   4.762 2.86e-17 2.53e-17 1.62e-17  9.53 -1603.48
 12.513  10.747 2.98e-17 2.27e-17 1.84e-17 19.84 -1588.90
 12.529  10.579 5.62e-17 3.50e-17 2.44e-17 24.16 -1589.06
 12.537  10.649 3.50e-17 3.55e-17 2.38e-17 16.72 -1588.88
 12.571  10.793 3.37e-17 2.59e-17 1.59e-17 22.49 -1588.89
 12.605  10.656 2.86e-17 2.24e-17 1.48e-17 14.18 -1589.06
 12.606  10.909 3.81e-17 2.99e-17 2.14e-17 17.27 -1588.76
 12.613  10.658 5.58e-17 3.02e-17 2.96e-17 19.40 -1588.82
 12.629  10.567 3.36e-17 2.00e-17 1.68e-17 19.32 -1588.89
 12.631  10.505 2.85e-17 2.58e-17 1.53e-17 26.42 -1588.94
 12.636  10.631 3.62e-17 1.88e-17 1.56e-17 30.96 -1588.83
 12.637  10.667 3.48e-17 2.69e-17 2.05e-17 18.81 -1588.92
 12.639  10.659 4.33e-17 3.17e-17 2.03e-17 21.27 -1588.86
 12.641  10.435 4.20e-17 3.19e-17 2.00e-17 21.08 -1588.78
 12.652  10.627 4.21e-17 4.00e-17 2.01e-17 20.17 -1589.02
 12.655  10.651 4.50e-17 3.50e-17 2.09e-17 16.27 -1588.93
 12.657  10.621 3.38e-17 2.21e-17 1.23e-17 25.96 -1588.98
 12.665  10.604 3.19e-17 2.17e-17 1.82e-17 21.11 -1588.74
 12.685  10.616 3.75e-17 3.03e-17 1.70e-17 15.89 -1588.91
 12.744  10.615 4.60e-17 3.57e-17 2.64e-17 21.34 -1589.01
 12.822  10.522 2.60e-17 2.16e-17 1.26e-17 17.46 -1588.80
 12.840  10.688 4.59e-17 3.04e-17 2.32e-17 11.97 -1588.83
