x y flux0 flux1 flux2 width rv
 15.534 -37.074 1.57e-16 1.01e-16 8.34e-17 29.49 -747.86
 15.536 -37.087 1.83e-16 1.04e-16 8.59e-17 49.99 -747.78
 15.536 -37.093 1.69e-16 1.25e-16 6.41e-17 52.00 -748.02
 15.537 -37.071 1.71e-16 1.77e-16 7.24e-17 37.11 -747.93
 15.539 -37.079 1.69e-16 1.19e-16 8.22e-17 28.27 -748.04
 15.539 -37.084 1.20e-16 1.48e-16 7.95e-17 56.99 -747.86
 15.540 -37.085 1.68e-16 1.05e-16 9.55e-17 41.01 -747.89
 15.540 -37.084 1.45e-16 1.07e-16 7.65e-17 47.56 -747.90
 15.541 -37.084 1.83e-16 1.75e-16 7.16e-17 45.74 -747.67
 15.541 -37.085 2.06e-16 1.04e-16 6.47e-17 27.75 -747.76
 15.542 -37.082 1.79e-16 1.07e-16 9.75e-17 38.47 -747.64
 15.542 -37.084 1.49e-16 9.73e-17 7.54e-17 29.68 -747.86
 15.542 -37.083 1.49e-16 1.16e-16 8.07e-17 37.74 -747.81
 15.543 -37.083 2.38e-16 1.50e-16 7.67e-17 32.38 -747.98
 15.543 -37.083 8.97e-17 9.66e-17 4.81e-17 32.88 -747.91
 15.543 -37.084 1.85e-16 1.49e-16 7.53e-17 38.43 -747.91
 15.543 -37.082 1.52e-16 1.15e-16 9.75e-17 59.29 -747.94
 15.543 -37.083 1.99e-16 1.74e-16 1.15e-16 58.68 -748.05
 15.543 -37.083 1.32e-16 9.01e-17 8.07e-17 54.34 -747.80
 15.543 -37.083 1.76e-16 1.31e-16 8.38e-17 57.63 -747.88
 15.543 -37.082 1.59e-16 8.53e-17 5.41e-17 32.24 -747.83
 15.544 -37.082 1.51e-16 8.21e-17 7.33e-17 36.84 -747.80
 15.544 -37.084 2.00e-16 1.17e-16 7.55e-17 32.95 -748.02
 15.544 -37.079 1.23e-16 7.76e-17 7.46e-17 39.06 -747.86
 15.544 -37.080 1.97e-16 1.19e-16 1.31e-16 46.21 -747.92
 15.545 -37.082 1.77e-16 1.19e-16 7.75e-17 50.19 -748.08
 15.545 -37.085 1.58e-16 9.44e-17 5.92e-17 44.93 -747.89
 15.545 -37.085 1.40e-16 8.76e-17 1.00e-16 38.35 -747.82
 15.546 -37.081 1.22e-16 8.53e-17 5.97e-17 48.14 -747.94
 15.546 -37.069 1.45e-16 9.20e-17 6.83e-17 56.17 -747.94
 15.546 -37.085 1.98e-16 1.38e-16 1.04e-16 26.12 -747.81
 15.548 -37.097 1.90e-16 1.59e-16 1.03e-16 37.73 -747.83
 15.549 -37.084 1.61e-16 1.61e-16 7.56e-17 38.93 -747.84
 15.556 -37.084 2.16e-16 2.25e-16 8.91e-17 30.60 -747.93
 15.558 -37.096 1.52e-16 1.03e-16 7.86e-17 33.92 -748.00
 20.987 -37.846 3.22e-17 2.78e-17 1.84e-17 16.51 -1607.50
 21.207 -38.403 6.39e-17 3.43e-17 2.48e-17 21.96 -1607.44
 21.284 -38.455 4.45e-17 2.85e-17 1.51e-17 18.86 -1607.71
 21.309 -38.370 4.07e-17 2.45e-17 1.84e-17 13.91 -1607.81
 21.327 -38.376 5.39e-17 2.80e-17 2.48e-17 19.03 -1607.75
 21.357 -38.391 4.70e-17 3.02e-17 1.89e-17 19.58 -1607.79
 21.396 -38.372 3.55e-17 3.95e-17 1.13e-17 16.68 -1607.71
 21.413 -38.444 3.73e-17 2.55e-17 1.74e-17 20.74 -1607.72
 21.453 -38.387 3.98e-17 2.09e-17 1.83e-17 20.23 -1607.61
