x y flux0 flux1 flux2 width rv
 41.593  -1.548 1.95e-17 1.12e-17 8.50e-18 15.94 -2269.11
 41.672  -1.774 1.31e-17 1.10e-17 7.22e-18 12.51 -2269.34
 41.723  -1.666 1.94e-17 1.84e-17 1.27e-17 14.05 -2269.27
 41.726  -1.439 1.66e-17 1.36e-17 9.93e-18 11.23 -2269.11
 41.737  -1.473 1.72e-17 1.45e-17 7.10e-18 14.19 -2269.07
 41.751  -1.584 2.31e-17 1.39e-17 9.79e-18 16.24 -2269.27
 41.769  -1.579 2.04e-17 1.12e-17 8.10e-18 12.70 -2269.32
 41.778  -1.521 2.11e-17 1.13e-17 9.29e-18 11.69 -2269.05
 41.778  -2.002 1.58e-17 1.05e-17 8.15e-18 14.63 -2269.32
 41.779  -1.498 1.89e-17 1.69e-17 8.77e-18 14.18 -2269.19
 41.779  -1.646 2.60e-17 1.96e-17 1.96e-17 15.71 -2269.26
 41.801  -1.573 1.82e-17 1.33e-17 9.07e-18 18.20 -2269.26
 41.802  -1.567 2.00e-17 1.55e-17 1.09e-17 10.64 -2269.11
 41.802  -1.551 2.74e-17 2.02e-17 1.30e-17 16.67 -2269.36
 41.804  -1.556 1.96e-17 1.15e-17 7.01e-18  6.12 -2269.13
 41.810  -1.557 2.25e-17 1.37e-17 1.10e-17 20.52 -2269.12
 41.816  -1.577 1.43e-17 1.21e-17 7.54e-18 14.45 -2269.25
 41.827  -1.735 2.03e-17 1.56e-17 1.03e-17 13.19 -2269.19
 41.828  -1.434 2.23e-17 2.04e-17 8.97e-18 13.04 -2269.23
 41.837  -1.559 1.38e-17 1.48e-17 7.63e-18 14.56 -2269.12
 41.849  -1.556 1.49e-17 1.38e-17 6.19e-18 13.28 -2269.22
 41.854  -1.627 2.35e-17 1.28e-17 1.32e-17 14.39 -2269.28
 41.874  -1.590 2.83e-17 1.24e-17 9.07e-18 11.32 -2269.21
 41.889  -1.536 1.65e-17 1.42e-17 7.67e-18 16.66 -2269.29
 41.889  -1.425 2.35e-17 1.24e-17 1.06e-17  9.01 -2269.26
 41.893  -1.564 2.40e-17 1.78e-17 8.66e-18 14.53 -2269.35
 41.911  -1.303 1.67e-17 1.38e-17 8.68e-18  9.42 -2269.26
 42.782  -7.346 1.40e-17 1.63e-17 8.98e-18 15.28 -2432.83
 42.922  -7.522 1.69e-17 1.64e-17 8.78e-18 13.48 -2432.79
 43.020  -7.470 2.39e-17 1.49e-17 9.24e-18 10.88 -2432.59
 43.035  -7.195 1.79e-17 1.17e-17 5.88e-18  9.21 -2432.68
 43.057  -7.511 1.33e-17 1.01e-17 7.25e-18 13.17 -2432.88
 43.058  -7.474 1.76e-17 1.33e-17 6.48e-18  9.63 -2432.93
 43.062  -7.473 1.75e-17 1.36e-17 8.31e-18 17.62 -2432.88
 43.065  -7.485 2.05e-17 1.60e-17 9.94e-18 15.13 -2432.89
 43.070  -7.498 1.31e-17 1.03e-17 5.02e-18 16.77 -2432.92
 43.072  -7.500 1.91e-17 1.16e-17 9.81e-18 13.98 -2432.81
 43.072  -7.557 1.65e-17 1.04e-17 7.42e-18 13.36 -2432.86
 43.077  -7.487 1.88e-17 1.36e-17 6.68e-18 13.43 -2432.79
 43.091  -7.472 1.53e-17 1.04e-17 1.02e-17 10.69 -2432.90
 43.096  -7.455 1.63e-17 1.29e-17 6.15e-18 10.01 -2432.97
 43.105  -7.396 1.75e-17 1.45e-17 9.75e-18 23.76 -2432.89
 43.106  -7.500 2.04e-17 1.55e-17 8.75e-18 14.86 -2432.82
 43.113  -7.392 1.50e-17 1.29e-17 6.33e-18 10.70 -2432.73
 43.134  -7.424 1.38e-17 1.25e-17 6.36e-18 10.84 -2432.71
