x y flux0 flux1 flux2 width rv
-40.301 -26.112 3.85e-17 2.95e-17 2.10e-17 23.48 -1423.18
-40.228 -25.912 4.75e-17 5.08e-17 2.28e-17 26.84 -1423.13
-40.181 -26.224 3.31e-17 2.77e-17 1.47e-17 24.35 -1423.10
-40.161 -26.003 4.90e-17 4.84e-17 2.87e-17 22.34 -1422.88
-40.158 -26.013 5.46e-17 3.38e-17 3.31e-17 28.37 -1423.02
-40.154 -25.976 5.66e-17 3.86e-17 2.57e-17 22.92 -1422.93
-40.150 -26.050 3.67e-17 2.49e-17 1.18e-17 28.10 -1422.76
-40.150 -26.054 5.01e-17 4.15e-17 2.47e-17 23.70 -1422.99
-40.149 -26.027 3.80e-17 3.89e-17 2.61e-17 20.12 -1422.89
-40.141 -26.020 3.25e-17 3.18e-17 2.26e-17 14.53 -1423.01
-40.139 -26.022 4.57e-17 3.87e-17 2.42e-17 29.40 -1422.94
-40.133 -26.096 7.48e-17 3.69e-17 1.85e-17 23.03 -1423.04
-40.128 -26.046 4.34e-17 4.43e-17 2.95e-17 22.72 -1423.04
-40.122 -26.015 4.09e-17 4.47e-17 2.24e-17 24.58 -1423.14
-40.121 -26.039 4.06e-17 2.41e-17 2.15e-17 23.78 -1422.91
-40.117 -25.962 3.72e-17 2.17e-17 1.39e-17 23.10 -1422.98
-40.116 -26.090 4.70e-17 5.27e-17 2.62e-17 27.99 -1422.97
-40.116 -25.949 4.07e-17 4.57e-17 2.92e-17 26.34 -1422.96
-40.116 -25.691 4.45e-17 2.86e-17 1.60e-17 16.47 -1423.02
-40.102 -25.845 5.04e-17 3.17e-17 1.83e-17 18.93 -1422.96
-40.101 -25.968 4.30e-17 3.22e-17 2.17e-17 15.33 -1423.11
-40.101 -26.012 6.15e-17 4.63e-17 2.57e-17 32.55 -1422.95
-40.100 -26.004 6.32e-17 4.62e-17 2.25e-17 27.07 -1422.97
-39.698 -26.030 5.66e-17 3.59e-17 2.37e-17 25.04 -1422.84
-35.211 -25.146 2.98e-17 2.62e-17 2.06e-17 20.41 -1615.51
-35.211 -25.146 3.88e-17 3.55e-17 2.67e-17 22.44 -1615.51
-35.211 -25.146 4.41e-17 3.31e-17 1.92e-17 19.73 -1615.52
-35.211 -25.146 4.23e-17 3.41e-17 1.38e-17 16.10 -1615.50
-35.211 -25.146 3.15e-17 3.73e-17 2.34e-17 22.65 -1615.61
-35.211 -25.146 2.60e-17 1.88e-17 1.43e-17 18.19 -1615.37
-35.211 -25.146 2.46e-17 2.85e-17 1.31e-17 21.01 -1615.65
-35.211 -25.146 2.44e-17 2.29e-17 1.27e-17 20.57 -1615.64
-35.211 -25.146 4.24e-17 2.91e-17 2.19e-17 19.72 -1615.61
-35.211 -25.146 3.54e-17 2.19e-17 1.27e-17 13.74 -1615.67
-35.211 -25.146 2.86e-17 2.22e-17 1.42e-17 17.10 -1615.35
-35.211 -25.146 3.28e-17 2.26e-17 1.50e-17 23.33 -1615.59
-35.211 -25.146 2.52e-17 2.24e-17 1.15e-17 14.97 -1615.48
-35.211 -25.146 3.56e-17 2.23e-17 1.85e-17 24.68 -1615.51
-35.211 -25.146 3.83e-17 2.68e-17 1.66e-17 17.36 -1615.60
-35.211 -25.146 3.29e-17 2.24e-17 1.35e-17 18.65 -1615.69
-35.211 -25.146 3.51e-17 2.49e-17 1.61e-17 13.72 -1615.47
-35.211 -25.146 3.82e-17 3.23e-17 1.87e-17 13.75 -1615.41
-35.211 -25.146 4.35e-17 2.77e-17 2.22e-17 15.66 -1615.47
-35.211 -25.146 2.93e-17 2.18e-17 1.91e-17 10.81 -1615.64
-35.211 -25.146 4.04e-17 3.17e-17 1.48e-17 15.19 -1615.43
-35.211 -25.146 4.67e-17 3.02e-17 1.93e-17 23.00 -1615.66
-35.211 -25.146 4.02e-17 2.76e-17 1.49e-17 10.39 -1615.46
-35.211 -25.146 4.46e-17 4.15e-17 2.76e-17 24.26 -1615.45
-35.211 -25.146 3.39e-17 2.18e-17 1.68e-17 20.05 -1615.41
-35.211 -25.146 2.95e-17 2.42e-17 1.76e-17 19.04 -1615.33
-35.211 -25.146 4.19e-17 3.81e-17 2.39e-17 20.88 -1615.43
-35.211 -25.146 3.39e-17 1.93e-17 1.35e-17 28.31 -1615.46
-35.211 -25.146 3.20e-17 2.59e-17 1.84e-17 17.89 -1615.55
-35.211 -25.146 3.33e-17 2.77e-17 2.50e-17 22.77 -1615.35
-35.211 -25.146 2.70e-17 2.41e-17 1.13e-17 17.06 -1615.37
-35.211 -25.146 3.77e-17 2.21e-17 1.74e-17 14.55 -1615.59
-35.211 -25.146 3.82e-17 4.07e-17 1.98e-17 20.63 -1615.62
-35.211 -25.146 5.66e-17 4.76e-17 2.71e-17 23.61 -1615.61
-33.860 -18.041 1.88e-17 1.49e-17 1.04e-17  9.62 -2476.76
-33.853 -18.035 2.06e-17 1.14e-17 7.68e-18 14.76 -2476.68
-33.839 -17.893 2.71e-17 1.43e-17 1.07e-17 13.37 -2476.77
-33.831 -18.077 1.60e-17 1.05e-17 5.43e-18 14.30 -2476.93
-33.828 -17.995 1.95e-17 1.44e-17 7.88e-18 14.34 -2476.72
-33.819 -18.004 1.56e-17 1.12e-17 7.51e-18 13.48 -2476.65
-33.812 -18.013 1.69e-17 1.14e-17 9.74e-18 14.75 -2476.65
-33.812 -17.975 1.94e-17 1.12e-17 8.71e-18 13.00 -2476.67
-33.810 -18.023 1.75e-17 1.60e-17 8.41e-18 12.28 -2476.77
-33.797 -17.978 1.81e-17 1.51e-17 9.60e-18 15.01 -2476.66
-33.796 -17.974 1.66e-17 1.22e-17 8.43e-18 11.09 -2476.78
-33.790 -17.988 1.67e-17 1.26e-17 8.56e-18 13.46 -2476.91
-33.785 -18.026 1.67e-17 1.24e-17 7.92e-18 17.54 -2476.72
-33.785 -17.852 2.16e-17 1.29e-17 7.48e-18 11.88 -2476.69
-33.778 -17.977 1.54e-17 1.06e-17 9.24e-18 11.67 -2476.58
-33.777 -17.757 2.07e-17 1.53e-17 8.72e-18  7.53 -2476.60
-33.762 -18.067 1.75e-17 1.28e-17 8.75e-18 17.14 -2476.63
-33.754 -17.959 2.06e-17 1.03e-17 8.59e-18 18.24 -2476.63
-33.751 -17.928 1.43e-17 1.38e-17 1.03e-17 12.67 -2476.55
-33.747 -17.967 1.48e-17 1.18e-17 6.62e-18 14.23 -2476.72
-33.732 -17.951 1.88e-17 1.07e-17 1.00e-17 11.58 -2476.91
