x y flux0 flux1 flux2 width rv
-22.216  10.447 1.89e-17 1.29e-17 8.97e-18 12.94 -2500.08
-22.149  10.564 1.62e-17 1.20e-17 8.15e-18 12.81 -2500.27
-22.127  10.455 1.84e-17 1.04e-17 8.64e-18 13.24 -2500.13
-22.106  10.391 1.54e-17 1.16e-17 5.91e-18 12.71 -2500.27
-22.059  10.405 1.71e-17 1.17e-17 7.81e-18  9.50 -2500.15
-22.049  10.383 2.00e-17 1.38e-17 9.54e-18 12.37 -2500.09
-22.045  10.468 1.63e-17 1.08e-17 7.09e-18 11.61 -2500.17
-22.044  10.478 1.31e-17 1.03e-17 6.42e-18  9.45 -2500.19
-22.040  10.513 1.33e-17 1.20e-17 5.99e-18 10.79 -2500.20
-22.032  10.465 1.34e-17 1.14e-17 7.23e-18  8.45 -2500.15
-22.027  10.497 1.54e-17 1.04e-17 6.00e-18 15.09 -2500.22
-22.024  10.478 2.04e-17 1.26e-17 7.05e-18 13.30 -2500.10
-22.009  10.526 1.55e-17 1.08e-17 6.95e-18  9.23 -2500.02
-21.972  10.538 1.69e-17 1.15e-17 9.50e-18 16.53 -2500.04
-21.878  10.497 2.07e-17 1.40e-17 9.98e-18  9.60 -2500.22
-21.827  10.434 1.48e-17 1.26e-17 8.36e-18  9.81 -2500.11
-17.214  10.169 4.05e-17 3.34e-17 1.98e-17 18.66 -1626.80
-17.165  10.089 3.62e-17 2.49e-17 1.66e-17 20.75 -1626.70
-17.161  10.086 3.60e-17 2.67e-17 1.92e-17 15.52 -1626.72
-17.144  10.071 3.14e-17 2.61e-17 1.48e-17 24.76 -1626.68
-17.141  10.148 3.78e-17 2.67e-17 2.09e-17 27.49 -1626.59
-17.135  10.136 3.99e-17 2.68e-17 2.28e-17 23.34 -1626.68
-17.133  10.138 3.46e-17 2.20e-17 1.24e-17 12.86 -1626.83
-17.131  10.142 4.08e-17 2.51e-17 1.57e-17 17.57 -1626.58
-17.130  10.140 4.18e-17 2.83e-17 2.00e-17 15.57 -1626.65
-17.129  10.139 3.80e-17 2.93e-17 2.03e-17 12.92 -1626.70
-17.129  10.116 2.75e-17 2.00e-17 1.36e-17 20.61 -1626.80
-17.129  10.152 4.09e-17 2.92e-17 1.99e-17 17.46 -1626.86
-17.129  10.142 4.52e-17 2.70e-17 1.77e-17 20.88 -1626.83
-17.128  10.144 3.43e-17 2.61e-17 1.80e-17 26.37 -1626.84
-17.127  10.142 3.70e-17 2.75e-17 1.80e-17 22.38 -1626.64
-17.126  10.144 4.52e-17 2.96e-17 1.83e-17 28.06 -1626.58
-17.126  10.131 4.04e-17 3.45e-17 1.49e-17 13.06 -1626.81
-17.123  10.116 2.95e-17 2.19e-17 1.37e-17 18.32 -1626.68
-17.123  10.132 2.76e-17 2.04e-17 1.56e-17 16.56 -1626.65
-17.121  10.164 3.83e-17 3.25e-17 2.03e-17 12.04 -1626.63
-17.121  10.137 4.97e-17 3.23e-17 2.34e-17 17.98 -1626.62
-17.119  10.169 4.42e-17 3.56e-17 2.05e-17 18.78 -1626.70
-17.106  10.169 3.63e-17 2.36e-17 2.00e-17 20.86 -1626.62
-17.087  10.167 3.42e-17 2.25e-17 1.57e-17 18.22 -1626.70
-17.087  10.054 4.06e-17 2.45e-17 1.42e-17 23.93 -1626.76
-17.072  10.179 4.10e-17 2.87e-17 2.45e-17 19.54 -1626.66
-17.038  10.103 4.04e-17 3.07e-17 2.19e-17 21.71 -1626.80
-17.030  10.057 4.02e-17 3.39e-17 2.53e-17 27.97 -1626.66
-17.022  10.152 3.35e-17 2.51e-17 1.66e-17 17.57 -1626.45
-17.012  10.022 3.91e-17 2.36e-17 1.69e-17 22.47 -1626.66
