x y flux0 flux1 flux2 width rv
-14.541  36.197 4.69e-17 3.33e-17 2.43e-17 22.94 -1297.02
-14.531  36.218 5.69e-17 4.53e-17 3.17e-17 22.98 -1297.14
-14.530  36.182 5.14e-17 3.56e-17 2.50e-17 24.17 -1297.03
-14.416  36.176 5.63e-17 3.75e-17 2.76e-17 29.06 -1297.04
-14.242  36.184 4.81e-17 3.42e-17 2.54e-17 20.35 -1296.97
-14.200  36.179 6.96e-17 4.84e-17 3.07e-17 31.59 -1296.87
-14.198  36.123 6.60e-17 4.91e-17 3.09e-17 24.30 -1296.92
-14.193  36.236 3.85e-17 2.94e-17 1.93e-17 29.89 -1297.32
-14.189  36.056 6.05e-17 4.75e-17 3.29e-17 18.03 -1297.19
-14.183  36.096 6.00e-17 4.29e-17 2.85e-17 19.93 -1297.09
-14.176  36.150 6.41e-17 4.74e-17 3.09e-17 19.06 -1296.89
-14.173  36.103 5.29e-17 3.82e-17 2.47e-17 20.02 -1296.97
-14.170  36.114 6.23e-17 4.18e-17 3.02e-17 19.26 -1297.02
-14.162  36.128 3.88e-17 2.77e-17 2.06e-17 33.96 -1296.90
-14.158  36.119 5.48e-17 3.75e-17 2.52e-17 31.45 -1297.05
-14.156  36.192 5.47e-17 3.40e-17 2.91e-17 27.50 -1297.13
-14.151  36.118 4.82e-17 2.89e-17 2.53e-17 26.22 -1297.00
-14.131  36.196 5.21e-17 3.92e-17 2.50e-17 35.45 -1297.08
-14.126  36.078 5.92e-17 4.26e-17 2.97e-17 28.31 -1297.17
-14.095  35.931 5.99e-17 4.22e-17 2.60e-17 33.74 -1297.23
-14.057  36.050 6.01e-17 4.04e-17 2.75e-17 25.40 -1297.08
-14.028  36.054 7.08e-17 4.92e-17 3.22e-17 30.90 -1297.08
-14.011  36.468 4.19e-17 3.26e-17 1.97e-17 15.70 -1297.00
-13.715  35.896 6.76e-17 4.68e-17 3.03e-17 38.89 -1296.88
-12.547  34.751 3.30e-17 2.30e-17 1.79e-17 25.76 -1716.99
-12.352  34.274 3.53e-17 2.45e-17 1.85e-17 25.71 -1717.17
-12.219  34.510 3.18e-17 2.57e-17 1.38e-17 16.69 -1716.95
-12.214  34.278 3.26e-17 2.34e-17 1.71e-17 18.37 -1717.18
-12.211  34.371 3.22e-17 2.05e-17 1.44e-17 21.12 -1717.14
-12.201  34.322 4.16e-17 2.51e-17 1.92e-17 17.30 -1717.12
-12.199  34.303 3.12e-17 2.18e-17 1.56e-17 17.17 -1717.11
-12.196  34.505 3.38e-17 2.12e-17 1.45e-17 19.45 -1717.05
-12.195  34.377 2.85e-17 2.19e-17 1.54e-17 15.08 -1717.35
-12.172  34.364 3.67e-17 2.51e-17 1.65e-17 17.74 -1717.13
-12.168  34.366 3.98e-17 2.88e-17 1.69e-17 14.72 -1717.09
-12.144  34.337 2.66e-17 2.07e-17 1.45e-17 23.70 -1717.08
-12.143  34.366 3.18e-17 2.10e-17 1.45e-17 16.83 -1717.02
-12.124  34.277 3.44e-17 2.49e-17 1.56e-17 18.82 -1717.00
-12.117  34.402 2.97e-17 1.88e-17 1.39e-17 18.17 -1717.04
-12.101  34.539 3.07e-17 2.27e-17 1.42e-17 25.18 -1716.96
-12.083  34.146 3.50e-17 2.32e-17 1.64e-17 16.75 -1717.15
-12.071  34.264 2.85e-17 2.11e-17 1.28e-17 16.82 -1717.07
-12.069  34.353 3.25e-17 2.34e-17 1.64e-17 17.19 -1717.02
-11.995  34.306 3.70e-17 2.22e-17 1.50e-17 21.33 -1717.09
-11.700  34.616 2.55e-17 1.93e-17 1.45e-17 14.29 -1716.76
 -7.084  32.886 2.72e-17 1.77e-17 1.16e-17 19.09 -2022.72
 -7.035  32.965 1.86e-17 1.43e-17 8.19e-18 20.47 -2022.58
 -6.982  33.040 2.59e-17 1.72e-17 1.19e-17 20.01 -2022.58
 -6.972  32.929 2.30e-17 1.85e-17 1.21e-17 17.93 -2022.58
 -6.969  32.838 2.77e-17 1.90e-17 1.18e-17 21.68 -2022.62
 -6.964  32.915 2.09e-17 1.62e-17 1.00e-17 15.29 -2022.78
 -6.958  32.989 1.99e-17 1.39e-17 9.64e-18 16.13 -2022.61
 -6.957  32.980 2.38e-17 1.54e-17 1.03e-17 19.26 -2022.50
 -6.929  32.983 2.81e-17 1.72e-17 1.28e-17 19.31 -2022.62
 -6.926  32.950 2.51e-17 1.70e-17 1.37e-17 15.93 -2022.75
 -6.925  32.962 2.23e-17 1.51e-17 1.13e-17 14.57 -2022.61
 -6.921  32.934 2.65e-17 1.97e-17 1.26e-17 13.18 -2022.57
 -6.918  32.952 1.77e-17 1.21e-17 9.69e-18 12.67 -2022.59
 -6.917  32.952 1.75e-17 1.23e-17 8.84e-18 20.53 -2022.66
 -6.915  32.956 1.57e-17 1.25e-17 7.72e-18 17.87 -2022.46
