x y flux0 flux1 flux2 width rv
 11.285 -18.277 2.61e-17 1.81e-17 8.15e-18 17.43 -2027.64
 11.307 -18.404 2.97e-17 2.01e-17 1.33e-17 11.17 -2027.90
 11.320 -18.353 2.35e-17 1.74e-17 1.20e-17  7.64 -2028.02
 11.335 -18.449 1.91e-17 1.82e-17 1.11e-17 23.01 -2027.74
 11.348 -18.376 2.02e-17 1.26e-17 9.25e-18 20.22 -2027.91
 11.357 -18.442 2.33e-17 1.83e-17 1.38e-17 17.48 -2027.86
 11.365 -18.510 2.17e-17 2.03e-17 1.03e-17 16.69 -2027.90
 11.369 -18.416 1.89e-17 1.93e-17 1.36e-17 18.99 -2028.06
 11.375 -18.450 2.94e-17 1.80e-17 1.08e-17 24.31 -2027.99
 11.379 -18.474 1.87e-17 1.56e-17 9.82e-18 18.90 -2027.98
 11.382 -18.439 3.48e-17 1.86e-17 1.83e-17 16.12 -2027.85
 11.383 -18.486 2.53e-17 1.85e-17 1.36e-17 15.87 -2027.91
 11.384 -18.451 1.76e-17 1.96e-17 1.07e-17 13.34 -2027.66
 11.387 -18.431 2.73e-17 1.54e-17 1.23e-17 13.69 -2027.80
 11.392 -18.418 1.73e-17 1.56e-17 8.08e-18 18.67 -2027.72
 11.392 -18.452 2.58e-17 1.52e-17 1.09e-17 15.51 -2028.03
 11.394 -18.453 1.64e-17 1.21e-17 9.05e-18 17.29 -2027.99
 11.395 -18.454 2.87e-17 2.02e-17 1.20e-17 11.04 -2027.94
 11.398 -18.452 1.61e-17 1.49e-17 7.00e-18 19.10 -2027.89
 11.400 -18.460 1.87e-17 1.98e-17 1.02e-17 18.67 -2027.99
 11.405 -18.449 2.90e-17 2.56e-17 1.13e-17 18.11 -2027.82
 11.406 -18.442 3.09e-17 1.55e-17 1.14e-17 15.43 -2028.10
 11.415 -18.439 2.83e-17 1.64e-17 1.28e-17 11.30 -2027.90
 11.432 -18.511 2.71e-17 1.82e-17 1.25e-17 15.06 -2028.09
 11.435 -18.426 2.70e-17 2.02e-17 1.20e-17 11.90 -2027.80
 11.450 -18.535 2.37e-17 1.46e-17 1.24e-17 12.19 -2027.92
 11.456 -18.578 1.66e-17 1.41e-17 1.01e-17 19.61 -2028.04
 11.525 -18.418 2.50e-17 1.30e-17 9.76e-18 12.93 -2027.86
