x y flux0 flux1 flux2 width rv
 27.990 -19.022 3.53e-17 3.07e-17 2.25e-17 25.60 -1616.51
 28.235 -19.187 2.12e-17 2.03e-17 1.13e-17 24.99 -1616.44
 28.248 -19.167 4.05e-17 2.71e-17 1.53e-17 23.77 -1616.87
 28.267 -19.244 2.90e-17 3.74e-17 1.83e-17 21.08 -1616.77
 28.269 -19.321 5.08e-17 3.07e-17 1.78e-17 18.14 -1616.45
 28.272 -19.215 3.53e-17 2.67e-17 1.79e-17 17.74 -1616.48
 28.304 -19.177 3.23e-17 2.59e-17 2.26e-17 19.00 -1616.55
 28.307 -19.153 4.30e-17 3.60e-17 2.08e-17 25.55 -1616.57
 28.313 -19.169 4.07e-17 2.88e-17 1.97e-17 18.26 -1616.79
 28.313 -19.186 2.08e-17 1.66e-17 1.62e-17 23.77 -1616.36
 28.316 -19.194 4.89e-17 2.70e-17 1.80e-17 17.09 -1616.64
 28.321 -19.225 4.02e-17 2.39e-17 2.55e-17 27.03 -1616.74
 28.323 -19.285 3.57e-17 2.34e-17 1.63e-17 20.41 -1616.67
 28.323 -19.180 4.75e-17 2.82e-17 1.66e-17 22.41 -1616.78
 28.347 -19.226 5.13e-17 2.93e-17 2.35e-17 23.23 -1616.47
 28.353 -19.316 3.56e-17 1.88e-17 1.65e-17 16.47 -1616.48
 28.365 -19.244 3.67e-17 2.33e-17 1.81e-17 33.65 -1616.68
 28.399 -19.165 4.23e-17 3.13e-17 2.08e-17 25.33 -1616.69
 28.563 -19.306 4.55e-17 3.01e-17 1.93e-17 22.88 -1616.37
