x y flux0 flux1 flux2 width rv
 43.490  -8.483 1.39e-17 1.08e-17 8.75e-18 10.94 -2586.62
 43.572  -8.636 1.33e-17 1.21e-17 7.62e-18 13.27 -2586.63
 43.597  -8.597 1.60e-17 1.08e-17 7.95e-18 13.97 -2586.54
 43.605  -8.630 1.75e-17 1.50e-17 9.27e-18 16.41 -2586.48
 43.607  -8.693 1.88e-17 1.41e-17 9.14e-18 12.71 -2586.68
 43.610  -8.633 1.66e-17 1.02e-17 7.36e-18 17.44 -2586.49
 43.613  -8.649 1.37e-17 1.34e-17 7.29e-18  8.88 -2586.58
 43.621  -8.621 1.34e-17 1.31e-17 6.41e-18 11.52 -2586.55
 43.626  -8.621 1.18e-17 1.02e-17 6.44e-18 11.53 -2586.56
 43.632  -8.546 1.74e-17 1.46e-17 1.01e-17 14.24 -2586.54
 43.632  -8.642 1.80e-17 1.40e-17 1.10e-17 14.24 -2586.46
 43.651  -8.584 1.23e-17 1.07e-17 8.22e-18 15.83 -2586.38
 43.654  -8.576 1.56e-17 1.53e-17 5.49e-18 12.12 -2586.44
 43.666  -8.736 1.03e-17 1.21e-17 6.52e-18 14.98 -2586.91
