x y flux0 flux1 flux2 width rv
-41.041  28.933 1.85e-17 1.61e-17 1.00e-17 17.00 -2244.37
-40.894  29.043 2.03e-17 1.48e-17 8.98e-18 18.24 -2244.17
-40.861  29.032 2.07e-17 1.49e-17 1.03e-17 16.37 -2244.26
-40.847  28.992 1.57e-17 1.29e-17 7.58e-18 16.85 -2244.25
-40.837  28.966 1.99e-17 1.23e-17 9.01e-18 17.15 -2244.14
-40.837  28.997 2.98e-17 1.53e-17 1.19e-17  9.49 -2244.13
-40.837  29.206 1.77e-17 1.12e-17 9.33e-18 14.67 -2244.31
-40.832  28.948 2.01e-17 1.45e-17 1.17e-17 13.42 -2244.23
-40.817  28.980 1.65e-17 1.02e-17 6.87e-18 21.60 -2244.29
-40.792  28.956 2.06e-17 1.33e-17 9.95e-18 16.54 -2244.29
-40.791  28.976 2.37e-17 2.07e-17 1.29e-17 13.31 -2244.06
-40.785  28.915 1.60e-17 1.13e-17 6.93e-18 16.33 -2244.45
-40.784  29.078 2.51e-17 1.40e-17 1.12e-17 13.99 -2244.22
-40.783  28.976 1.65e-17 1.35e-17 9.61e-18 13.30 -2244.28
-40.781  28.970 2.29e-17 1.87e-17 1.02e-17 14.28 -2244.12
-40.765  28.952 1.96e-17 1.48e-17 1.07e-17  8.70 -2244.44
-40.761  28.964 1.74e-17 1.20e-17 8.47e-18  9.81 -2244.25
-40.761  28.975 2.20e-17 1.57e-17 1.07e-17 22.11 -2244.14
-40.750  29.121 2.46e-17 1.91e-17 1.18e-17 18.65 -2244.26
-40.738  28.989 2.09e-17 1.33e-17 8.64e-18 11.70 -2244.19
-40.730  29.117 1.82e-17 1.52e-17 1.02e-17 17.12 -2244.27
-40.717  28.860 1.91e-17 1.47e-17 8.93e-18 19.10 -2244.24
-40.691  29.105 2.10e-17 1.37e-17 9.12e-18 13.32 -2244.18
-40.331  19.665 1.74e-17 1.25e-17 7.89e-18 13.62 -2344.20
-40.323  19.777 1.84e-17 1.27e-17 8.45e-18 14.07 -2344.33
-40.314  19.640 1.89e-17 1.48e-17 9.23e-18 15.47 -2344.29
-40.310  19.700 1.93e-17 1.49e-17 9.75e-18 17.02 -2344.14
-40.286  19.681 1.47e-17 1.10e-17 6.45e-18  8.09 -2344.33
-40.276  19.661 1.40e-17 1.12e-17 6.63e-18 11.01 -2344.24
-40.276  19.673 1.73e-17 1.20e-17 7.54e-18 15.41 -2344.11
-40.271  19.683 2.21e-17 1.47e-17 1.02e-17  9.60 -2344.18
-40.268  19.667 2.17e-17 1.49e-17 8.65e-18 13.18 -2344.20
-40.265  19.671 1.93e-17 1.42e-17 9.62e-18 20.03 -2344.13
-40.265  19.668 1.66e-17 1.26e-17 7.84e-18 13.95 -2344.40
-40.265  19.670 2.00e-17 1.28e-17 7.32e-18 11.17 -2344.15
-40.264  19.673 1.53e-17 1.24e-17 7.65e-18 14.67 -2344.09
-40.264  19.674 1.79e-17 1.15e-17 8.42e-18 17.38 -2344.13
-40.262  19.675 1.64e-17 1.34e-17 8.37e-18 18.88 -2343.92
-40.261  19.671 1.75e-17 1.65e-17 9.11e-18 11.85 -2344.32
-40.259  19.665 1.67e-17 1.17e-17 9.12e-18 15.07 -2344.20
