x y flux0 flux1 flux2 width rv
-26.571  -3.435 1.42e-17 1.13e-17 8.06e-18 11.24 -2441.31
-26.519  -3.485 1.68e-17 1.46e-17 1.11e-17 11.68 -2441.41
-26.497  -3.556 2.07e-17 1.18e-17 7.16e-18  5.81 -2441.27
-26.487  -3.477 1.54e-17 1.25e-17 8.30e-18 11.99 -2441.40
-26.485  -3.503 1.77e-17 1.20e-17 7.90e-18 11.99 -2441.35
-26.475  -3.455 1.58e-17 1.03e-17 6.41e-18  8.18 -2441.61
-26.471  -3.503 1.54e-17 1.19e-17 7.39e-18 19.89 -2441.31
-26.469  -3.478 1.66e-17 1.04e-17 7.89e-18 12.26 -2441.60
-26.466  -3.484 1.75e-17 1.39e-17 7.13e-18 19.29 -2441.51
-26.465  -3.474 1.49e-17 1.05e-17 8.56e-18 12.69 -2441.47
-26.463  -3.441 1.71e-17 1.37e-17 7.94e-18 14.67 -2441.43
-26.463  -3.480 1.48e-17 1.44e-17 8.68e-18 15.21 -2441.65
-26.459  -3.465 2.17e-17 1.06e-17 7.73e-18 10.83 -2441.42
-26.451  -3.458 2.06e-17 1.44e-17 8.78e-18 10.24 -2441.35
-26.448  -3.478 1.54e-17 1.15e-17 7.98e-18 10.78 -2441.47
-26.443  -3.475 1.25e-17 1.21e-17 7.63e-18 11.94 -2441.54
-26.427  -3.356 1.65e-17 1.08e-17 7.86e-18 16.28 -2441.46
-26.424  -3.431 1.37e-17 1.32e-17 7.06e-18 10.55 -2441.42
-26.342  -3.394 1.67e-17 1.14e-17 9.53e-18 15.81 -2441.34
-23.595 -14.176 3.44e-16 1.93e-16 1.31e-16 75.39 -611.73
-22.686 -14.595 2.42e-16 2.64e-16 1.25e-16 76.83 -611.82
-22.659 -13.627 2.16e-16 1.88e-16 1.25e-16 51.85 -611.77
-22.658 -14.149 2.98e-16 2.10e-16 1.39e-16 54.95 -611.90
-22.618 -13.833 2.17e-16 1.92e-16 9.57e-17 83.70 -611.86
-22.575 -13.694 2.15e-16 1.93e-16 1.07e-16 54.91 -612.03
-22.537 -13.913 2.81e-16 2.15e-16 1.41e-16 50.39 -611.69
-22.523 -14.014 2.22e-16 1.83e-16 1.14e-16 63.45 -612.04
-22.512 -13.763 2.61e-16 2.33e-16 1.27e-16 36.48 -611.90
-22.505 -13.741 2.62e-16 1.80e-16 1.10e-16 54.36 -611.81
-22.478 -13.868 2.11e-16 1.60e-16 1.35e-16 77.31 -611.86
-22.455 -13.866 1.75e-16 1.39e-16 9.55e-17 55.61 -611.86
-22.450 -13.863 3.32e-16 2.03e-16 1.40e-16 58.10 -612.03
-22.450 -13.801 2.00e-16 1.73e-16 1.30e-16 61.65 -611.85
-22.448 -13.865 3.72e-16 2.72e-16 1.48e-16 44.13 -612.19
-22.444 -13.763 2.64e-16 1.73e-16 2.04e-16 44.18 -611.92
-22.442 -14.390 2.33e-16 2.33e-16 1.35e-16 83.40 -611.97
-22.397 -14.069 3.67e-16 2.04e-16 1.93e-16 83.96 -612.04
-22.383 -13.887 2.31e-16 1.68e-16 1.17e-16 44.85 -611.91
-22.380 -13.825 3.98e-16 2.55e-16 1.37e-16 68.70 -611.88
-22.367 -14.006 3.58e-16 2.80e-16 1.43e-16 54.81 -612.06
-22.355 -13.769 2.08e-16 1.61e-16 1.27e-16 45.03 -611.83
-22.341 -13.719 3.33e-16 1.60e-16 1.40e-16 61.06 -611.69
-22.322 -13.616 2.43e-16 1.83e-16 1.36e-16 58.75 -612.04
-22.292 -14.014 2.51e-16 1.74e-16 1.38e-16 50.70 -611.84
-22.257 -13.944 1.73e-16 1.51e-16 1.04e-16 83.27 -612.15
-22.164 -13.870 2.57e-16 2.41e-16 1.36e-16 56.78 -611.90
-21.972 -13.650 2.42e-16 2.14e-16 1.09e-16 89.53 -611.85
-16.157 -11.778 1.12e-17 1.09e-17 8.35e-18 14.15 -2550.67
-16.127 -11.752 1.61e-17 1.34e-17 8.76e-18 14.57 -2550.79
-16.097 -11.697 2.06e-17 1.10e-17 6.92e-18  8.90 -2550.55
-16.089 -11.877 1.47e-17 1.24e-17 6.95e-18 12.53 -2550.51
-16.082 -11.783 1.26e-17 1.11e-17 9.11e-18 10.67 -2550.59
-16.070 -11.757 1.60e-17 1.09e-17 6.35e-18 10.92 -2550.75
-16.051 -11.777 1.91e-17 1.13e-17 6.02e-18 17.61 -2550.67
-16.050 -11.774 1.72e-17 1.02e-17 1.01e-17 12.57 -2550.59
-16.047 -11.725 1.40e-17 1.01e-17 7.03e-18 14.65 -2550.70
-16.045 -11.768 1.87e-17 1.15e-17 7.61e-18 12.47 -2550.58
-16.042 -11.789 1.58e-17 1.23e-17 6.75e-18 11.70 -2550.54
-16.039 -12.024 1.25e-17 1.31e-17 7.37e-18  8.32 -2550.73
-16.026 -11.771 1.24e-17 1.19e-17 8.16e-18 11.76 -2550.59
-16.025 -11.704 1.63e-17 1.18e-17 6.27e-18 13.89 -2550.69
-15.991 -11.645 1.52e-17 1.12e-17 6.42e-18 13.01 -2550.63
-15.934 -11.770 1.29e-17 1.11e-17 5.83e-18 14.92 -2550.89
