name x y flux1 flux2 flux3 par rv
P06042 -14.481  13.519 1.21e-17 1.19e-17 8.94e-18  -0.001    1.61
P04768 -14.474   2.314 4.27e-14 3.81e-14 3.19e-14   0.000   -2.38
P01054 -12.623  14.858 9.96e-13 6.07e-13 3.45e-13   0.034    0.20
P00741 -11.822  13.320 1.07e-17 9.39e-18 8.16e-18   0.001    1.23
P05588 -11.025  13.255 1.48e-13 8.97e-14 5.07e-14  -0.001    0.66
P02711 -10.643  12.726 2.48e-15 1.22e-15 6.19e-16   0.002    1.09
P01587 -10.688  12.947 4.00e-17 3.10e-17 2.14e-17   0.002    1.17
P00283 -10.269  12.167 2.67e-16 1.86e-16 9.84e-17   0.001    0.12
P03683  -9.951  13.315 8.00e-16 4.51e-16 2.12e-16   0.001    1.24
P04015  -9.884  12.955 6.78e-14 3.23e-14 1.45e-14  -0.000    1.13
P03121  -9.755  12.721 6.08e-15 2.84e-15 1.36e-15   0.000    1.07
P02898  -9.210  12.498 6.66e-17 4.52e-17 3.19e-17  -0.001    1.09
P06024  -9.154  12.904 1.55e-11 8.21e-12 3.79e-12   0.012   -0.98
P00099  -8.993  12.320 7.78e-16 4.45e-16 2.16e-16   0.002    0.23
P03011  -8.810  12.859 2.69e-16 1.63e-16 9.08e-17  -0.001    1.35
P01270  -8.904  13.467 7.41e-17 6.09e-17 3.56e-17   0.002    0.56
P02519  -8.788  13.544 4.97e-15 2.68e-15 1.09e-15   0.000    0.26
P02260  -8.612  14.536 7.28e-14 8.30e-14 5.92e-14  -0.001    0.37
P05909  -8.615  13.374 3.22e-17 2.73e-17 1.66e-17   0.002    0.66
P01563  -8.476  11.757 2.11e-16 1.37e-16 7.93e-17   0.000   -0.79
P05061  -8.583  14.049 2.23e-13 1.53e-13 8.09e-14   0.028   -0.89
P05607  -8.400  13.175 9.99e-14 5.38e-14 2.85e-14  -0.000    0.96
P04031  -8.472  14.100 1.05e-13 5.41e-14 3.01e-14   0.002   -0.27
P04087  -8.362  12.794 8.80e-16 5.29e-16 2.61e-16   0.001    0.91
P03197  -8.354  14.338 2.00e-16 1.41e-16 7.82e-17   0.004    0.63
P04961  -8.398  12.563 1.19e-16 9.45e-17 5.12e-17   0.000    0.26
P02756  -8.317  14.807 2.03e-15 1.03e-15 4.83e-16  -0.001    0.46
P02384  -8.207  13.209 8.91e-14 5.32e-14 2.25e-14   0.001    1.56
P02442  -8.127  12.791 3.35e-15 1.72e-15 7.51e-16  -0.000    1.03
P06066  -8.026  13.194 2.35e-15 1.17e-15 5.86e-16   0.000    1.57
P02378  -8.041  13.039 7.24e-16 4.60e-16 2.29e-16   0.001    1.31
P02981  -7.814  12.489 1.33e-13 9.15e-14 5.03e-14  -0.001    1.40
P01703  -7.739  13.728 5.52e-14 7.78e-14 9.82e-14   0.001    0.58
P00291  -7.757  12.834 2.18e-17 1.80e-17 1.24e-17   0.000    1.64
P02168  -7.543  12.251 1.27e-13 9.75e-14 6.14e-14   0.000   -0.51
P05167  -7.559  13.073 6.85e-16 4.01e-16 2.07e-16   0.001    1.82
P03561  -7.629  12.330 6.58e-17 4.30e-17 2.71e-17  -0.000   -0.81
P03338  -7.441  12.668 1.39e-16 9.15e-17 5.26e-17  -0.001    1.14
P01434  -7.275  12.968 8.71e-16 4.27e-16 2.24e-16   0.001    1.19
P05512  -7.311  12.879 9.51e-14 5.14e-14 2.53e-14   0.001    2.18
P01551  -7.199  12.829 1.14e-17 9.49e-18 6.83e-18  -0.001    2.33
P02170  -7.175  13.173 2.65e-16 1.79e-16 9.73e-17   0.002    0.28
P01704  -7.179  13.350 2.62e-14 5.69e-14 7.13e-14  -0.000    0.31
P01931  -7.126  12.789 7.16e-14 3.41e-14 1.69e-14   0.001    0.45
P00835  -7.010  13.258 3.63e-17 3.20e-17 2.06e-17   0.001    0.92
P03192  -7.056  12.825 3.19e-17 2.68e-17 1.63e-17   0.002    2.62
P01376  -7.041  13.117 9.08e-17 6.22e-17 3.83e-17   0.001    1.74
P04722  -6.967  13.080 1.20e-17 1.24e-17 8.39e-18   0.002    0.33
P02529  -6.957  12.875 1.77e-15 1.02e-15 4.47e-16  -0.000    2.49
P03062  -7.026  13.059 3.82e-17 3.01e-17 1.77e-17   0.000    2.51
P00992  -6.833  14.676 1.46e-15 8.56e-16 3.65e-16   0.002    0.11
P00504  -6.707  13.028 1.54e-13 1.09e-13 5.96e-14   0.000    0.18
P03469  -6.865  13.209 1.47e-15 7.14e-15 2.08e-14  -0.001    0.14
P03951  -6.797  12.878 3.50e-16 2.18e-16 1.03e-16   0.000    2.62
P05272  -6.752  12.940 5.92e-16 3.10e-16 1.94e-16   0.001    1.74
P01335  -6.632  12.845 2.96e-16 1.86e-16 1.08e-16   0.002    0.48
P04028  -6.766  13.786 5.60e-14 8.24e-14 9.06e-14   0.002    0.53
P06200  -6.740  12.517 7.09e-15 3.38e-15 1.49e-15   0.002   -0.64
P02303  -6.716  12.560 6.74e-17 4.64e-17 3.03e-17   0.001    2.75
P04699  -6.670  12.836 1.16e-16 7.30e-17 4.28e-17   0.003    0.13
P05685  -6.583  13.489 5.24e-17 4.16e-17 2.56e-17   0.002   -1.03
P05103  -6.632  13.268 6.44e-14 8.11e-14 9.22e-14  -0.000   -0.89
P00200  -6.573  12.938 1.57e-16 9.55e-17 5.79e-17   0.000    2.00
P05390  -6.674  12.749 1.36e-13 9.38e-14 5.45e-14   0.002    1.64
P00905  -6.620  12.474 1.79e-15 9.74e-16 4.39e-16   0.002   -0.35
P03007  -6.635  12.695 5.08e-17 3.75e-17 2.47e-17   0.001   -0.74
P00927  -6.595  14.387 8.83e-16 4.91e-16 2.51e-16  -0.000   -0.05
P04876  -6.527  13.616 1.45e-16 8.80e-17 4.82e-17   0.001   -1.16
P00173  -6.507  12.956 1.28e-15 7.86e-16 2.96e-16   0.000    0.79
P05557  -6.496  12.783 2.69e-15 1.41e-15 5.95e-16   0.001   -0.39
P05575  -6.486  13.305 2.20e-16 1.60e-16 8.94e-17   0.001   -1.07
P04347  -6.469  12.952 4.66e-17 3.87e-17 2.35e-17  -0.001    0.10
P05216  -6.490  13.360 3.29e-15 1.74e-15 7.74e-16   0.001   -0.73
P05887  -6.502  12.791 1.17e-13 7.14e-14 3.28e-14   0.000   -1.24
P03884  -6.358  12.775 2.89e-16 1.94e-16 1.06e-16   0.001    0.49
P05387  -6.495  12.864 1.30e-17 1.05e-17 8.10e-18   0.002   -0.12
P03191  -6.570  12.962 1.02e-16 7.95e-17 5.07e-17   0.000    2.11
P05990  -6.340  12.620 6.66e-17 4.82e-17 3.10e-17   0.000   -0.22
P05872  -6.268  12.981 4.10e-16 2.65e-16 1.31e-16   0.001   -0.20
P04628  -6.232  13.089 1.71e-15 9.17e-16 4.25e-16   0.002    5.34
P02527  -6.344  12.974 1.12e-13 1.09e-13 9.32e-14   0.002   -0.30
P03591  -6.182  13.016 1.94e-15 8.34e-15 2.47e-14   0.001   -1.37
P00564  -6.218  13.162 1.33e-13 8.23e-14 4.32e-14   0.001   11.90
P04562  -6.314  12.867 2.79e-17 2.44e-17 1.46e-17   0.002    7.62
P02833  -6.246  12.537 6.45e-16 3.38e-16 1.91e-16   0.003    0.89
P05488  -6.329  12.874 3.14e-16 2.03e-16 1.18e-16  -0.001   -0.27
P03180  -6.186  12.755 2.16e-16 1.32e-16 7.08e-17   0.001   12.33
P03946  -6.228  13.355 2.79e-17 2.74e-17 1.75e-17   0.001   -1.27
P05783  -6.333  12.807 1.05e-13 6.52e-14 3.14e-14   0.001   13.88
P00664  -6.166  12.989 3.15e-17 2.57e-17 1.63e-17  -0.000    0.95
P05597  -6.198  13.023 1.58e-15 9.34e-16 4.72e-16   0.000   19.17
P06062  -6.252  13.108 9.53e-14 5.67e-14 2.55e-14   0.002    9.97
P05949  -6.174  12.854 6.93e-15 3.77e-15 1.51e-15   0.001    5.35
P02671  -6.074  13.396 6.31e-14 3.40e-14 1.60e-14   0.001   -1.57
P04517  -6.252  13.215 5.30e-16 3.20e-16 1.65e-16   0.001   -1.58
P04422  -6.210  12.870 5.42e-16 3.29e-16 1.67e-16   0.001   -4.01
P02213  -6.144  13.205 1.47e-16 9.84e-17 5.48e-17   0.000   -1.73
P04784  -6.066  12.759 5.22e-14 2.90e-14 1.27e-14   0.001   -1.78
P04461  -6.052  13.004 1.48e-13 1.05e-13 5.12e-14   0.003   -9.73
P04584  -6.123  12.971 2.09e-17 1.78e-17 1.13e-17   0.002  -15.77
P01741  -6.187  12.974 1.69e-17 1.51e-17 9.87e-18   0.004   -6.01
P05084  -6.092  13.051 6.32e-16 3.74e-16 2.06e-16   0.000  -10.52
P04929  -6.095  13.013 1.51e-15 8.33e-16 4.04e-16   0.001   -2.66
P01555  -6.160  12.886 1.31e-15 6.73e-16 3.98e-16   0.002   -7.70
P04693  -6.043  13.110 5.61e-16 3.09e-16 1.78e-16  -0.000   -2.25
P01097  -6.010  13.703 2.08e-16 1.26e-16 7.39e-17   0.000    0.52
P00437  -6.015  12.961 4.45e-16 2.53e-16 1.43e-16  -0.000   -3.73
