x y flux0 flux1 flux2 width rv
-11.902 -25.790 1.43e-17 1.14e-17 6.82e-18  8.10 -2542.04
-11.891 -25.742 1.09e-17 1.34e-17 6.92e-18 16.69 -2542.11
-11.882 -16.413 2.31e-17 1.21e-17 8.47e-18 15.75 -2113.82
-11.877 -25.708 1.44e-17 1.34e-17 7.57e-18  9.74 -2542.14
-11.871 -25.842 1.62e-17 1.20e-17 6.81e-18 16.89 -2541.92
-11.846 -25.773 1.11e-17 1.30e-17 9.14e-18 13.52 -2542.00
-11.843 -25.770 1.62e-17 1.37e-17 8.21e-18  9.28 -2541.86
-11.839 -25.738 1.64e-17 1.45e-17 8.76e-18 15.28 -2541.73
-11.833 -25.696 1.18e-17 1.21e-17 7.81e-18 11.31 -2541.84
-11.824 -25.717 1.09e-17 1.20e-17 4.97e-18 18.33 -2541.85
-11.822 -16.454 2.60e-17 2.11e-17 1.27e-17 13.06 -2113.68
-11.818 -25.707 2.00e-17 1.35e-17 1.25e-17 18.25 -2542.00
-11.817 -25.681 1.85e-17 1.39e-17 6.99e-18 13.34 -2541.92
-11.812 -16.597 2.73e-17 1.93e-17 1.54e-17 19.08 -2113.81
-11.807 -25.719 1.98e-17 1.05e-17 9.94e-18 18.51 -2541.75
-11.805 -25.730 1.39e-17 1.02e-17 5.90e-18  7.33 -2541.96
-11.802 -25.730 1.92e-17 1.29e-17 9.69e-18  8.69 -2541.93
-11.802 -25.726 1.73e-17 1.16e-17 6.30e-18  6.58 -2541.84
-11.797 -16.469 2.43e-17 1.72e-17 1.26e-17 14.71 -2113.72
-11.788 -16.523 1.93e-17 1.36e-17 9.53e-18 17.99 -2113.78
-11.779 -16.516 2.76e-17 1.99e-17 1.06e-17 16.94 -2113.83
-11.773 -25.697 1.62e-17 1.06e-17 7.49e-18 14.54 -2542.02
-11.766 -25.699 1.59e-17 1.17e-17 9.39e-18 18.94 -2541.97
-11.765 -25.642 1.29e-17 1.02e-17 6.76e-18 10.89 -2541.73
-11.765 -25.700 1.32e-17 1.23e-17 8.24e-18 12.13 -2541.87
-11.765 -16.512 1.83e-17 1.57e-17 8.74e-18 17.35 -2113.72
-11.762 -16.511 1.95e-17 1.33e-17 6.80e-18 11.96 -2113.97
-11.761 -16.514 2.41e-17 1.81e-17 1.24e-17 12.86 -2113.88
-11.760 -16.506 3.21e-17 2.34e-17 1.22e-17 14.00 -2113.84
-11.760 -16.532 1.91e-17 1.30e-17 9.90e-18 19.70 -2113.83
-11.760 -16.507 2.54e-17 2.35e-17 9.64e-18 12.76 -2113.77
-11.759 -16.549 2.13e-17 1.88e-17 1.26e-17 20.52 -2113.79
-11.758 -25.850 1.65e-17 1.12e-17 8.46e-18 12.23 -2541.88
-11.757 -16.510 1.91e-17 1.77e-17 8.72e-18 13.10 -2113.89
-11.750 -16.474 1.99e-17 1.59e-17 8.28e-18 17.01 -2113.90
-11.750 -16.474 1.65e-17 1.23e-17 8.06e-18 16.54 -2114.02
-11.745 -16.561 2.21e-17 1.58e-17 9.01e-18 12.42 -2113.80
-11.744 -16.511 1.83e-17 1.16e-17 8.62e-18 13.07 -2113.82
-11.744 -16.503 2.45e-17 1.51e-17 1.42e-17 15.92 -2113.74
-11.743 -16.506 1.99e-17 1.45e-17 9.48e-18 16.89 -2113.83
-11.739 -16.555 1.61e-17 1.09e-17 8.43e-18 15.75 -2113.71
-11.726 -16.479 1.85e-17 1.23e-17 1.11e-17 10.18 -2113.83
-11.719 -16.465 2.07e-17 1.68e-17 1.00e-17 16.09 -2113.88
-11.698 -16.518 2.19e-17 1.21e-17 1.18e-17 16.99 -2113.74
