x y flux0 flux1 flux2 width rv
  2.761  -5.259 2.47e-17 1.71e-17 1.81e-17 22.36 -1780.64
  2.869  -5.423 2.92e-17 2.65e-17 1.60e-17 17.50 -1780.81
  2.962  -5.325 3.06e-17 2.93e-17 1.58e-17 15.50 -1780.88
  3.074  -5.389 3.20e-17 2.53e-17 1.50e-17 18.05 -1781.07
  3.132  -5.491 3.47e-17 2.04e-17 1.56e-17 14.91 -1780.87
  3.159  -5.501 2.97e-17 2.80e-17 1.48e-17 16.82 -1780.99
  3.185  -5.438 3.51e-17 1.92e-17 2.27e-17 22.14 -1781.01
  3.204  -5.272 2.79e-17 1.91e-17 1.04e-17 16.09 -1780.99
  3.208  -5.449 3.40e-17 1.99e-17 1.32e-17 16.80 -1781.11
  3.213  -5.446 2.80e-17 1.75e-17 1.31e-17 25.67 -1780.92
  3.230  -5.403 4.73e-17 2.37e-17 1.85e-17 11.72 -1781.22
  3.237  -5.406 1.91e-17 1.65e-17 1.33e-17 13.92 -1781.02
  3.244  -5.480 4.47e-17 2.67e-17 1.71e-17 13.46 -1781.01
  3.247  -5.297 2.83e-17 2.10e-17 1.62e-17 15.18 -1781.02
  3.249  -5.423 3.79e-17 2.77e-17 1.92e-17 17.87 -1781.00
  3.257  -5.564 2.27e-17 1.66e-17 1.14e-17 17.14 -1781.21
  3.280  -5.492 3.53e-17 2.63e-17 1.78e-17 15.16 -1781.05
  3.285  -5.362 3.08e-17 1.92e-17 1.43e-17 21.38 -1780.90
  3.305  -5.284 2.98e-17 2.47e-17 1.55e-17 21.09 -1781.11
  3.320  -5.376 2.98e-17 2.25e-17 1.35e-17 22.97 -1781.01
  3.337  -5.743 2.83e-17 2.19e-17 1.27e-17 15.79 -1781.07
  3.456  -5.243 3.19e-17 2.44e-17 1.58e-17 20.44 -1780.95
  3.495  -5.469 2.78e-17 2.24e-17 1.37e-17 21.42 -1780.96
 13.608  -4.104 1.78e-17 1.11e-17 8.82e-18 14.11 -2567.70
 13.614  -4.243 1.72e-17 1.04e-17 6.97e-18 12.59 -2567.82
 13.616  -4.170 1.75e-17 1.48e-17 8.35e-18 13.41 -2567.88
 13.625  -4.208 1.81e-17 1.13e-17 9.44e-18 12.67 -2567.89
 13.638  -4.226 1.68e-17 1.09e-17 9.13e-18 15.13 -2567.92
 13.652  -4.240 1.50e-17 1.12e-17 5.07e-18 11.42 -2567.97
 13.652  -4.236 1.47e-17 1.40e-17 7.75e-18 11.11 -2567.83
 13.655  -4.327 1.57e-17 1.17e-17 7.30e-18 13.56 -2567.80
 13.661  -4.196 1.69e-17 1.30e-17 9.06e-18 13.59 -2567.68
 13.666  -4.241 1.54e-17 1.14e-17 8.27e-18 14.58 -2567.71
 13.674  -4.185 1.42e-17 1.17e-17 5.29e-18  9.07 -2567.82
 13.678  -4.261 1.31e-17 1.03e-17 5.23e-18 17.11 -2567.86
 13.678  -4.227 1.33e-17 1.26e-17 7.47e-18  9.26 -2567.83
 13.701  -4.202 1.67e-17 1.46e-17 4.99e-18  9.51 -2567.90
 13.719  -4.389 1.80e-17 1.66e-17 7.35e-18 11.69 -2567.90
 13.759  -4.380 1.96e-17 1.29e-17 8.65e-18 12.81 -2567.92
