x y flux0 flux1 flux2 width rv
 19.034  10.939 2.50e-17 2.45e-17 1.52e-17 17.29 -1888.72
 19.047  10.928 3.10e-17 2.50e-17 1.52e-17 24.71 -1888.87
 19.048  10.916 3.50e-17 2.19e-17 1.42e-17 21.68 -1888.91
 19.058  10.917 2.04e-17 2.04e-17 1.19e-17 14.80 -1889.01
 19.059  10.949 3.48e-17 2.00e-17 1.47e-17 27.33 -1888.87
 19.063  10.951 2.23e-17 1.84e-17 1.77e-17 14.50 -1888.81
 19.064  10.924 2.62e-17 1.78e-17 1.20e-17 12.48 -1888.87
 19.066  10.923 2.76e-17 2.00e-17 1.25e-17 13.24 -1888.96
 19.068  10.957 3.37e-17 2.23e-17 1.28e-17 15.83 -1888.98
 19.069  10.968 2.35e-17 1.43e-17 1.14e-17 20.03 -1889.05
 19.075  10.957 2.48e-17 2.32e-17 1.11e-17 18.37 -1888.86
 19.076  10.973 2.99e-17 1.96e-17 1.09e-17 21.01 -1889.12
 19.084  10.953 2.91e-17 2.47e-17 1.59e-17 15.68 -1888.87
 19.092  10.951 2.15e-17 1.45e-17 1.14e-17 25.08 -1888.97
 19.098  10.978 3.36e-17 2.49e-17 1.75e-17 24.25 -1889.08
 19.168  10.990 2.47e-17 1.98e-17 9.13e-18 20.66 -1888.98
 23.145  12.006 4.17e-17 2.79e-17 1.67e-17 20.17 -1452.86
 23.167  11.959 4.71e-17 3.86e-17 2.86e-17 34.34 -1452.70
 23.221  11.936 4.72e-17 3.91e-17 2.11e-17 19.66 -1452.65
 23.231  11.938 5.33e-17 4.54e-17 2.66e-17 19.14 -1452.67
 23.234  11.959 4.70e-17 3.38e-17 2.39e-17 21.86 -1452.75
 23.244  12.033 3.76e-17 2.42e-17 2.00e-17 23.18 -1452.64
 23.256  11.947 4.76e-17 4.01e-17 2.67e-17 19.53 -1452.67
 23.256  11.937 5.72e-17 4.22e-17 1.88e-17 23.86 -1452.71
 23.259  11.952 4.34e-17 3.27e-17 2.56e-17 30.05 -1452.61
 23.264  11.947 4.83e-17 3.40e-17 2.40e-17 13.96 -1452.88
 23.266  11.946 3.89e-17 3.33e-17 2.98e-17 23.51 -1452.83
 23.266  11.947 5.58e-17 3.71e-17 2.12e-17 25.88 -1452.85
 23.267  11.953 3.12e-17 2.20e-17 2.29e-17 24.66 -1452.77
 23.268  11.939 4.09e-17 3.06e-17 1.63e-17 21.16 -1452.93
 23.269  11.942 6.05e-17 3.29e-17 2.38e-17 26.71 -1452.78
 23.271  11.952 5.80e-17 4.29e-17 3.15e-17 25.88 -1452.60
 23.275  11.944 4.78e-17 3.92e-17 3.20e-17 16.94 -1452.86
 23.277  11.951 5.56e-17 3.12e-17 2.21e-17 27.30 -1452.68
 23.279  11.972 4.54e-17 4.00e-17 2.44e-17  9.98 -1452.74
 23.279  11.970 4.00e-17 2.66e-17 2.07e-17 26.70 -1452.67
 23.280  11.885 3.97e-17 2.70e-17 2.04e-17 26.47 -1452.86
 23.280  11.957 5.39e-17 3.99e-17 2.47e-17 26.51 -1452.81
 23.282  11.927 5.03e-17 3.45e-17 2.42e-17 15.70 -1452.78
 23.296  11.873 4.70e-17 3.78e-17 2.32e-17 21.36 -1452.68
 23.297  11.931 6.09e-17 3.80e-17 2.65e-17 21.65 -1452.73
 23.299  11.934 5.48e-17 4.83e-17 3.13e-17 19.62 -1452.63
 23.305  11.919 3.70e-17 3.03e-17 1.95e-17 26.59 -1452.95
 23.346  11.905 4.58e-17 2.93e-17 2.77e-17 20.68 -1452.79
 24.789  10.922 2.02e-17 1.73e-17 1.00e-17  7.20 -2476.71
 24.797  10.562 1.83e-17 1.11e-17 9.68e-18  9.66 -2476.66
 24.838  10.819 1.81e-17 1.06e-17 7.66e-18 12.38 -2476.72
 24.930  10.760 1.23e-17 1.20e-17 7.13e-18 13.40 -2476.86
 24.939  10.697 1.52e-17 1.32e-17 7.31e-18 10.09 -2477.00
 24.959  10.757 1.50e-17 1.37e-17 7.77e-18  8.74 -2476.80
 24.970  10.843 1.36e-17 1.25e-17 6.64e-18 14.77 -2476.83
 24.979  10.760 1.30e-17 1.14e-17 8.59e-18 14.25 -2476.93
 24.980  10.835 1.48e-17 1.23e-17 7.74e-18 21.26 -2476.85
 24.999  10.746 2.18e-17 1.53e-17 1.16e-17 12.31 -2476.93
 25.024  10.504 1.08e-17 1.12e-17 4.97e-18 10.24 -2476.84
 25.031  10.762 1.89e-17 1.34e-17 8.91e-18 14.65 -2476.87
 25.034  10.743 1.81e-17 1.18e-17 7.87e-18 12.50 -2476.71
 25.039  10.773 1.93e-17 1.08e-17 8.05e-18  9.29 -2476.70
 25.050  10.773 1.45e-17 1.40e-17 9.22e-18  9.07 -2476.90
 25.059  10.789 1.77e-17 1.21e-17 6.82e-18 11.99 -2477.05
 25.081  10.739 1.65e-17 1.11e-17 8.10e-18 14.31 -2476.76
 25.117  10.801 1.94e-17 1.01e-17 7.83e-18 10.16 -2476.83
 25.122  10.790 2.07e-17 1.40e-17 7.90e-18 14.00 -2476.79
 25.128  10.627 1.42e-17 1.26e-17 6.61e-18 16.22 -2476.91
 25.175  10.794 1.53e-17 1.19e-17 7.70e-18 16.91 -2476.87
 25.249  11.114 2.04e-17 1.13e-17 8.60e-18 21.14 -2476.93
 27.334   6.035 2.56e-15 1.74e-15 1.28e-15 126.33 -185.06
 29.891   4.225 4.25e-15 2.24e-15 1.47e-15 148.10 -186.69
