x y flux0 flux1 flux2 width rv
 42.558 -23.895 1.55e-17 1.11e-17 1.05e-17 17.29 -2460.13
 42.572 -23.862 1.64e-17 1.40e-17 8.01e-18 16.63 -2459.98
 42.580 -23.915 1.60e-17 1.08e-17 1.01e-17 11.39 -2459.94
 42.594 -23.923 1.85e-17 1.24e-17 7.75e-18 17.47 -2459.82
 42.600 -23.882 1.99e-17 1.37e-17 8.41e-18 10.75 -2459.89
 42.600 -23.929 1.39e-17 1.33e-17 6.45e-18 10.70 -2460.11
 42.601 -23.907 2.41e-17 1.61e-17 1.15e-17 11.13 -2460.03
 42.603 -23.909 1.48e-17 1.44e-17 1.08e-17 15.93 -2459.98
 42.607 -23.915 1.32e-17 1.38e-17 7.42e-18 15.51 -2459.87
 42.608 -23.954 1.71e-17 1.28e-17 9.75e-18 12.85 -2460.06
 42.609 -23.919 1.89e-17 1.67e-17 7.22e-18 12.94 -2459.99
 42.611 -23.967 1.49e-17 1.03e-17 7.79e-18 13.70 -2460.00
 42.611 -23.938 1.37e-17 1.33e-17 5.24e-18 23.67 -2459.98
 42.612 -23.860 1.43e-17 1.15e-17 6.07e-18 13.04 -2460.21
 42.613 -23.896 1.88e-17 1.43e-17 9.75e-18 13.91 -2460.06
 42.628 -23.946 1.57e-17 1.51e-17 1.05e-17 15.97 -2460.25
 42.637 -23.960 1.77e-17 1.52e-17 8.27e-18 17.37 -2460.01
 42.638 -23.943 1.50e-17 1.16e-17 8.07e-18 10.19 -2459.89
 42.640 -23.934 1.67e-17 1.35e-17 7.15e-18 11.95 -2460.08
 42.645 -23.945 1.39e-17 1.17e-17 9.21e-18 14.22 -2459.99
 42.653 -23.926 1.45e-17 1.30e-17 5.51e-18 11.70 -2460.13
