x y flux0 flux1 flux2 width rv
-36.105  38.438 3.16e-17 2.17e-17 1.46e-17 14.98 -1668.46
-36.071  38.480 2.35e-17 1.82e-17 1.17e-17 22.46 -1668.52
-35.908  38.267 2.57e-17 1.84e-17 1.31e-17 17.96 -1668.38
-35.895  38.369 4.26e-17 2.96e-17 1.99e-17 22.10 -1668.35
-35.818  38.701 4.01e-17 2.75e-17 1.87e-17 15.44 -1668.29
-35.816  38.394 2.70e-17 1.87e-17 1.26e-17 16.01 -1668.33
-35.809  38.381 4.12e-17 3.15e-17 2.13e-17 20.88 -1668.23
-35.784  38.297 3.15e-17 2.18e-17 1.56e-17 23.30 -1668.31
-35.767  38.371 3.27e-17 2.48e-17 1.63e-17 21.27 -1668.45
-35.764  38.334 2.53e-17 1.66e-17 1.29e-17 21.25 -1668.17
-35.757  38.340 2.97e-17 2.20e-17 1.41e-17 23.10 -1668.28
-35.756  38.326 4.35e-17 2.89e-17 1.97e-17 23.76 -1668.35
-35.755  38.324 3.76e-17 2.63e-17 1.80e-17 18.30 -1668.36
-35.747  38.343 3.18e-17 2.19e-17 1.55e-17 17.28 -1668.24
-35.733  38.377 3.73e-17 2.79e-17 1.89e-17 12.01 -1668.15
-35.728  38.371 3.28e-17 2.46e-17 1.57e-17 19.25 -1668.27
-35.715  38.284 3.09e-17 2.08e-17 1.43e-17 19.88 -1668.24
-35.618  38.131 3.73e-17 2.85e-17 1.83e-17 14.91 -1668.15
-35.495  38.450 3.25e-17 2.45e-17 1.55e-17 24.73 -1668.29
-30.338  38.448 1.77e-17 1.24e-17 8.41e-18 10.45 -2512.97
-30.311  38.404 1.36e-17 1.02e-17 6.19e-18 14.70 -2513.17
-30.302  38.421 1.55e-17 1.13e-17 7.41e-18 12.24 -2513.05
-30.288  38.319 1.62e-17 1.16e-17 7.00e-18 14.48 -2513.07
-30.281  38.442 1.64e-17 1.18e-17 8.30e-18 14.38 -2513.22
-30.266  38.425 1.70e-17 1.13e-17 7.81e-18  9.73 -2513.02
-30.261  38.413 1.88e-17 1.34e-17 9.05e-18 12.64 -2512.92
-30.256  38.422 1.64e-17 1.23e-17 8.02e-18 12.27 -2513.04
-30.252  38.433 1.49e-17 1.06e-17 6.58e-18 12.56 -2513.10
-30.247  38.481 1.53e-17 1.09e-17 6.99e-18 15.48 -2512.99
-30.246  38.437 1.37e-17 1.06e-17 7.65e-18 13.99 -2513.08
-30.242  38.400 1.73e-17 1.24e-17 8.02e-18 11.49 -2513.07
-30.215  38.359 1.62e-17 1.18e-17 7.74e-18  7.95 -2513.10
-30.213  38.489 1.40e-17 1.04e-17 7.05e-18  9.78 -2512.86
-30.210  38.415 1.69e-17 1.20e-17 7.97e-18 12.53 -2513.03
-30.114  38.412 1.49e-17 1.11e-17 7.62e-18 15.96 -2512.97
-30.059  38.375 1.52e-17 1.04e-17 7.22e-18 18.40 -2513.03
-30.046  38.218 1.52e-17 1.15e-17 7.67e-18 14.19 -2513.00
