name x y flux1 flux2 flux3 par rv
P01573 -43.105  -9.012 8.29e-15 4.99e-15 2.43e-15   0.001   13.73
P04712 -42.289  -4.593 3.38e-17 3.58e-17 2.81e-17   0.003   13.82
P03134 -40.332 -14.302 2.60e-14 1.17e-14 5.63e-15   0.002   14.20
P04367 -40.004 -10.722 9.34e-15 5.04e-15 2.39e-15   0.002   14.84
P02206 -39.615 -13.644 1.26e-16 1.14e-16 7.94e-17   0.002   14.32
P02528 -39.918 -11.842 2.28e-15 1.43e-15 6.91e-16   0.003   14.39
P04372 -39.715  -5.914 2.90e-13 4.70e-13 6.28e-13   0.001   14.66
P00309 -39.781  -8.467 4.80e-16 4.25e-16 2.37e-16   0.002   14.86
P06037 -39.549 -13.327 2.96e-16 2.30e-16 1.39e-16   0.002   14.47
P04567 -39.315  -2.558 1.09e-16 9.26e-17 8.81e-17   0.002   13.95
P01680 -39.257  -6.819 4.97e-16 3.39e-16 2.56e-16   0.003   14.95
P02504 -38.719  -2.621 1.55e-15 1.09e-15 5.73e-16   0.001   14.06
P00953 -38.423 -10.619 1.23e-16 1.07e-16 7.56e-17   0.004   15.08
P00084 -38.497 -11.241 3.27e-14 1.56e-14 6.39e-15   0.002   15.34
P04892 -38.108 -14.740 1.11e-17 1.69e-17 1.35e-17   0.002   14.04
P01912 -37.948 -10.594 2.66e-15 1.52e-15 7.28e-16   0.001   15.47
P04256 -37.894 -12.657 5.00e-16 3.16e-16 2.14e-16   0.002   14.46
P03029 -37.787  -6.882 6.85e-17 6.20e-17 4.66e-17   0.004   15.28
P02969 -37.949  -4.265 2.30e-17 2.15e-17 2.11e-17  -0.000   14.47
P04219 -37.704  -8.864 1.63e-16 1.30e-16 9.56e-17   0.003   15.37
P04027 -37.591 -11.501 1.01e-12 8.37e-13 4.50e-13   0.002   15.51
P01067 -37.536  -6.710 1.20e-16 1.21e-16 8.18e-17   0.003   15.31
P05726 -37.285 -10.208 1.16e-14 6.66e-15 3.18e-15   0.003   16.13
P00005 -37.457  -8.692 1.15e-16 1.01e-16 7.26e-17   0.003   16.17
P05594 -37.285 -10.754 1.10e-14 5.83e-15 2.70e-15   0.003   17.03
P02514 -37.312  -7.156 8.21e-15 5.50e-15 2.51e-15   0.003   15.66
P00772 -37.153  -8.102 4.13e-17 4.08e-17 2.99e-17   0.002   15.97
P04885 -37.217 -12.663 4.47e-17 4.61e-17 3.53e-17   0.003   14.68
P00984 -37.231 -11.047 3.40e-14 1.88e-14 8.95e-15   0.002   16.00
P05788 -37.303  -5.080 3.33e-16 2.88e-16 1.74e-16   0.001   14.75
P04984 -37.081 -13.328 9.02e-13 6.97e-13 5.13e-13   0.001   14.11
P05429 -37.203  -9.680 1.27e-17 1.43e-17 1.37e-17   0.001   16.74
P05432 -37.030  -9.942 5.90e-15 3.63e-15 1.60e-15   0.002   16.90
P01030 -36.728 -10.604 1.43e-17 1.64e-17 1.68e-17   0.001   16.94
P01695 -36.934  -5.827 1.41e-16 1.20e-16 8.80e-17   0.000   14.77
P02004 -36.804 -13.547 1.73e-14 8.81e-15 4.30e-15   0.001   13.77
P02188 -36.779 -10.936 4.04e-13 2.07e-13 8.79e-14   0.003   17.80
P05586 -36.792  -7.605 3.37e-17 3.19e-17 2.85e-17   0.002   15.85
P02779 -36.663 -13.032 1.46e-15 9.24e-16 5.09e-16   0.001   14.01
P02082 -36.490 -10.157 1.63e-15 1.02e-15 5.78e-16   0.003   17.20
P01334 -36.499  -7.848 6.24e-16 4.98e-16 2.89e-16   0.001   15.46
P01828 -36.528  -7.560 8.99e-13 5.84e-13 3.29e-13   0.000   15.87
P02724 -36.574  -4.677 1.21e-17 1.45e-17 1.37e-17   0.004   14.54
P04400 -36.469 -11.690 3.40e-14 1.46e-14 6.57e-15   0.000   17.18
P05457 -36.457 -13.821 1.65e-17 7.23e-18 3.12e-18   0.001   13.33
P00026 -36.437 -10.897 1.75e-16 1.53e-16 9.61e-17   0.002   18.19
P02162 -36.242 -10.475 2.81e-17 1.27e-17 4.59e-18   0.001   17.96
P03801 -36.188 -13.521 2.21e-17 2.33e-17 1.98e-17   0.002   11.00
P02053 -36.276 -11.324 2.52e-14 1.37e-14 6.98e-15   0.002   18.82
P02727 -36.086 -12.051 7.55e-17 8.46e-17 6.30e-17   0.002   17.61
P00248 -35.990  -9.504 5.62e-17 5.63e-17 3.82e-17   0.003   16.58
P01917 -36.060  -4.285 1.39e-17 1.71e-17 1.61e-17   0.001   14.12
P03795 -36.136 -13.254 8.09e-15 4.40e-15 2.49e-15   0.003   13.27
P05038 -35.978 -11.914 4.73e-15 3.15e-15 1.30e-15   0.001   15.75
P01276 -35.974 -13.427 2.84e-17 3.06e-17 2.43e-17  -0.000   12.20
P02631 -36.005 -13.957 9.21e-16 6.62e-16 3.52e-16   0.003   12.44
P04781 -35.917 -12.541 1.16e-14 6.59e-15 3.05e-15  -0.000   14.25
P04880 -35.958 -13.239 3.57e-15 2.38e-15 1.03e-15   0.001   12.95
P04571 -36.111 -12.608 1.52e-17 1.70e-17 1.53e-17   0.002   13.78
P05181 -36.011  -7.671 1.76e-14 9.11e-15 4.27e-15   0.003   15.38
P03301 -35.941  -4.743 6.52e-17 6.79e-17 5.14e-17   0.003   14.42
P02144 -35.971 -12.480 4.78e-16 3.67e-16 2.30e-16   0.001   14.14
P04644 -36.087 -10.622 1.08e-17 4.39e-18 2.48e-18   0.002   18.41
P01237 -35.897 -12.771 3.25e-16 2.39e-16 1.87e-16   0.002   13.05
P00478 -35.714 -12.550 3.90e-14 1.73e-14 8.72e-15   0.002   13.56
P00059 -35.708 -14.593 7.42e-16 4.77e-16 2.82e-16   0.002   12.42
P02312 -35.740  -6.216 5.97e-16 4.29e-16 2.90e-16   0.002   14.60
P03080 -35.690 -12.523 2.31e-17 2.66e-17 2.23e-17   0.002    6.09
P04355 -35.767 -11.861 7.98e-13 9.01e-13 6.36e-13   0.002   22.61
P03535 -35.491 -12.087 1.19e-16 9.93e-17 7.43e-17  -0.001   13.96
P04877 -35.598 -13.858 2.58e-16 2.29e-16 1.49e-16   0.002   11.68
P01201 -35.588 -13.556 1.44e-15 8.92e-16 5.10e-16   0.002   10.86
P05358 -35.582 -11.494 6.32e-17 6.01e-17 4.63e-17   0.000   15.94
P00495 -35.565 -11.756 1.36e-17 1.36e-17 1.55e-17   0.003   22.83
P01530 -35.546 -12.086 1.92e-16 1.53e-16 1.11e-16   0.001   30.76
P00683 -35.571 -11.701 9.66e-15 5.36e-15 2.43e-15   0.003   23.40
P00832 -35.504 -12.113 6.89e-13 3.84e-13 1.92e-13   0.002   28.13
P01758 -35.463 -11.414 3.79e-14 2.20e-14 9.41e-15   0.004   16.84
P05206 -35.584 -12.870 5.01e-13 2.69e-13 9.50e-14   0.003    8.43
P05134 -35.410 -11.882 1.10e-17 1.34e-17 1.36e-17   0.003   25.27
P01314 -35.395 -11.890 6.18e-14 3.19e-14 1.26e-14   0.002   14.90
P02841 -35.497 -13.853 6.00e-13 3.16e-13 1.83e-13   0.001   12.31
P03127 -35.536 -11.538 1.18e-15 8.31e-16 4.49e-16   0.002   15.28
P01871 -35.479 -12.250 1.13e-12 7.30e-13 4.55e-13   0.001   12.30
P05072 -35.434 -10.846 1.73e-15 1.15e-15 6.28e-16   0.001   18.11
