x y flux0 flux1 flux2 width rv
-26.278 -38.356 2.62e-17 1.88e-17 1.40e-17 21.87 -1905.09
-26.269 -38.539 1.97e-17 1.33e-17 1.24e-17 16.15 -1905.00
-26.222 -38.566 2.92e-17 1.83e-17 1.39e-17 16.30 -1904.87
-26.214 -38.401 2.48e-17 1.95e-17 1.02e-17 15.86 -1905.08
-26.200 -38.472 2.61e-17 1.73e-17 1.18e-17 25.85 -1905.00
-26.176 -38.427 2.67e-17 1.55e-17 7.94e-18  8.24 -1905.16
-26.167 -38.313 2.27e-17 2.45e-17 1.15e-17  9.30 -1905.03
-26.155 -38.441 2.81e-17 1.29e-17 9.06e-18 17.58 -1904.80
-26.140 -38.379 2.36e-17 1.58e-17 6.49e-18 12.26 -1904.84
-26.132 -38.437 3.59e-17 1.79e-17 2.09e-17 13.42 -1905.08
-26.128 -38.479 1.57e-17 1.56e-17 1.04e-17 20.90 -1905.01
-26.128 -38.472 2.41e-17 2.25e-17 1.33e-17 16.47 -1905.00
-26.128 -38.457 3.27e-17 2.23e-17 1.72e-17 15.01 -1904.97
-26.128 -38.446 2.62e-17 2.18e-17 1.65e-17 19.20 -1904.94
-26.118 -38.432 1.72e-17 1.49e-17 7.83e-18 22.51 -1905.08
-26.111 -38.401 2.66e-17 1.88e-17 1.02e-17 15.79 -1904.74
-26.109 -38.382 2.90e-17 2.71e-17 1.21e-17 18.42 -1904.99
-26.098 -38.456 1.74e-17 1.76e-17 8.68e-18 32.14 -1904.92
-26.097 -38.372 2.33e-17 1.78e-17 1.25e-17 19.09 -1905.02
-26.083 -38.440 2.11e-17 1.46e-17 9.90e-18 18.50 -1904.93
-26.081 -38.509 3.81e-17 2.28e-17 1.62e-17 21.08 -1904.99
-26.070 -38.597 3.18e-17 1.60e-17 1.45e-17 14.49 -1905.01
-26.059 -38.552 3.01e-17 2.83e-17 1.72e-17 20.44 -1904.96
-26.057 -38.387 2.77e-17 2.66e-17 1.79e-17 13.49 -1904.84
-26.048 -38.472 2.42e-17 1.56e-17 1.19e-17 17.64 -1905.03
-25.996 -38.297 1.65e-17 1.79e-17 8.59e-18 13.87 -1904.88
-25.968 -38.688 2.15e-17 1.42e-17 1.14e-17 16.34 -1904.90
-25.906 -38.362 1.67e-17 1.21e-17 1.05e-17 16.11 -1905.13
