x y flux0 flux1 flux2 width rv
-13.954  42.053 1.69e-17 1.20e-17 8.15e-18 16.52 -2231.52
-13.455  42.348 1.80e-17 1.28e-17 8.27e-18 16.78 -2231.75
-13.432  42.307 2.00e-17 1.68e-17 1.08e-17 16.12 -2231.70
-13.431  42.323 2.65e-17 1.92e-17 1.37e-17 23.33 -2231.67
-13.424  42.282 2.70e-17 1.82e-17 1.09e-17 10.50 -2231.79
-13.415  42.256 1.88e-17 1.48e-17 8.73e-18 18.51 -2231.54
-13.413  42.318 1.71e-17 1.27e-17 8.34e-18 13.07 -2231.62
-13.410  42.278 1.64e-17 1.40e-17 8.91e-18 12.90 -2231.78
-13.405  42.287 1.41e-17 1.01e-17 7.52e-18 16.67 -2231.63
-13.402  42.281 2.52e-17 1.58e-17 1.24e-17 17.63 -2231.56
-13.395  42.277 2.26e-17 1.63e-17 1.07e-17 11.98 -2231.76
-13.392  42.323 2.77e-17 1.89e-17 1.22e-17 14.23 -2231.66
-13.389  42.260 1.90e-17 1.33e-17 8.92e-18 15.39 -2231.58
-13.388  42.252 1.72e-17 1.23e-17 8.46e-18 17.80 -2231.74
-13.387  42.283 2.21e-17 1.52e-17 1.05e-17 11.76 -2231.61
-13.386  42.376 2.33e-17 1.53e-17 1.17e-17  9.45 -2231.69
-13.384  42.293 1.90e-17 1.51e-17 1.04e-17 18.38 -2231.71
-13.381  42.282 2.12e-17 1.64e-17 9.53e-18 13.06 -2231.80
-13.381  42.240 1.69e-17 1.38e-17 9.02e-18 20.84 -2231.74
-13.380  42.299 2.13e-17 1.38e-17 1.03e-17 12.92 -2231.70
-13.377  42.274 1.77e-17 1.36e-17 8.52e-18 12.42 -2231.80
-13.368  42.263 2.55e-17 1.94e-17 1.25e-17 20.54 -2231.53
-13.345  42.143 2.11e-17 1.44e-17 9.40e-18 15.64 -2231.74
-13.331  42.148 2.07e-17 1.58e-17 1.09e-17 17.19 -2231.70
-13.314  42.283 1.75e-17 1.17e-17 9.12e-18 15.94 -2231.55
-13.308  42.213 1.96e-17 1.36e-17 8.67e-18 14.98 -2231.65
-13.308  42.258 2.51e-17 1.59e-17 1.17e-17 17.02 -2231.69
-13.263  42.287 2.04e-17 1.47e-17 9.28e-18 11.78 -2231.57
-13.260  42.237 1.87e-17 1.33e-17 8.93e-18 13.01 -2231.61
-13.249  42.317 1.84e-17 1.37e-17 9.05e-18 10.71 -2231.59
