x y flux0 flux1 flux2 width rv
 14.155  20.446 1.90e-17 1.12e-17 8.16e-18 10.45 -2428.28
 14.155  20.443 1.57e-17 1.12e-17 7.26e-18 13.51 -2428.16
 14.156  20.446 1.58e-17 1.17e-17 6.99e-18 11.86 -2428.49
 14.158  20.445 1.43e-17 1.17e-17 7.79e-18 17.83 -2428.14
 14.158  20.446 2.09e-17 1.11e-17 9.12e-18  9.45 -2428.25
 14.158  20.446 1.71e-17 1.23e-17 7.27e-18 14.91 -2428.40
 14.158  20.448 1.87e-17 1.39e-17 7.40e-18 10.48 -2428.21
 14.158  20.446 1.84e-17 1.48e-17 9.13e-18 15.47 -2428.30
 14.159  20.446 2.12e-17 1.15e-17 8.52e-18 16.41 -2428.20
 14.158  20.448 1.41e-17 1.16e-17 6.85e-18 13.28 -2428.40
 14.158  20.446 1.99e-17 1.61e-17 9.89e-18 14.88 -2428.17
 14.159  20.446 1.63e-17 1.21e-17 7.16e-18 19.55 -2428.46
 14.159  20.446 1.62e-17 1.08e-17 8.93e-18 16.16 -2428.39
 14.159  20.446 1.47e-17 1.22e-17 8.33e-18  7.99 -2428.36
 14.159  20.446 1.24e-17 1.07e-17 6.33e-18 22.23 -2428.32
 14.159  20.446 1.52e-17 1.09e-17 7.15e-18 25.30 -2428.26
 14.159  20.446 1.81e-17 1.09e-17 7.50e-18 14.52 -2428.32
 14.159  20.446 1.35e-17 1.17e-17 7.64e-18 19.77 -2428.43
 14.159  20.446 1.55e-17 1.03e-17 8.97e-18 14.06 -2428.16
 14.159  20.445 1.97e-17 1.32e-17 1.04e-17 15.01 -2428.40
 14.159  20.447 1.79e-17 1.14e-17 8.18e-18 16.79 -2428.12
 14.159  20.446 1.48e-17 1.18e-17 8.05e-18 15.22 -2428.32
 14.160  20.445 1.76e-17 1.26e-17 8.85e-18 14.13 -2428.26
 14.160  20.447 1.83e-17 1.17e-17 9.44e-18 14.09 -2428.23
