x y flux0 flux1 flux2 width rv
 21.117  -8.832 3.47e-17 3.38e-17 1.91e-17 25.36 -1732.03
 21.179  -8.918 2.06e-17 1.67e-17 1.15e-17 18.74 -1731.98
 21.271  -8.779 3.82e-17 2.87e-17 1.22e-17 18.52 -1732.15
 21.286  -8.859 3.12e-17 2.39e-17 1.30e-17 22.41 -1731.93
 21.299  -8.809 2.90e-17 1.86e-17 1.46e-17 26.88 -1731.99
 21.301  -8.779 2.74e-17 2.35e-17 1.45e-17 19.45 -1732.19
 21.305  -8.720 3.76e-17 2.49e-17 1.68e-17 18.59 -1732.05
 21.307  -8.834 2.38e-17 1.82e-17 1.53e-17 16.69 -1732.13
 21.308  -8.826 2.46e-17 1.86e-17 1.23e-17 14.81 -1731.83
 21.312  -8.860 3.06e-17 1.91e-17 1.30e-17 19.51 -1731.95
 21.313  -8.841 4.05e-17 2.75e-17 1.75e-17 21.37 -1731.81
 21.315  -8.835 3.55e-17 2.85e-17 1.93e-17 19.88 -1731.97
 21.316  -8.821 3.14e-17 2.93e-17 2.33e-17 12.37 -1732.09
 21.317  -8.673 3.05e-17 1.73e-17 1.08e-17 15.85 -1731.91
 21.321  -8.864 3.40e-17 2.91e-17 1.73e-17 18.53 -1731.79
 21.323  -8.869 2.85e-17 2.07e-17 1.61e-17 17.12 -1731.97
 21.330  -8.761 3.31e-17 2.57e-17 1.75e-17 13.43 -1732.13
 21.342  -8.790 2.94e-17 3.05e-17 1.85e-17 26.93 -1731.99
 21.354  -8.888 3.77e-17 2.88e-17 1.78e-17 17.09 -1732.03
 21.376  -8.828 4.47e-17 2.39e-17 1.24e-17 18.27 -1731.80
 21.483  -8.631 3.82e-17 2.29e-17 1.54e-17 14.40 -1732.23
 21.551  -8.744 2.83e-17 1.82e-17 1.36e-17 17.79 -1732.07
 27.030  -7.274 1.86e-17 1.74e-17 9.22e-18 18.10 -2206.16
 27.039  -7.238 2.14e-17 1.39e-17 8.73e-18 18.76 -2206.02
 27.042  -7.246 2.15e-17 1.74e-17 1.08e-17 13.08 -2206.00
 27.043  -7.255 2.12e-17 1.56e-17 1.02e-17 16.29 -2206.08
 27.044  -7.258 1.98e-17 1.54e-17 1.06e-17 20.95 -2206.15
 27.045  -7.253 2.33e-17 1.11e-17 7.66e-18 17.83 -2206.17
 27.045  -7.267 2.38e-17 1.49e-17 9.64e-18 15.43 -2206.24
 27.046  -7.242 3.27e-17 1.51e-17 1.22e-17 15.28 -2206.09
 27.047  -7.295 1.95e-17 1.50e-17 1.09e-17 19.63 -2206.03
 27.050  -7.260 2.58e-17 2.42e-17 1.04e-17  9.59 -2206.17
 27.051  -7.256 2.09e-17 1.53e-17 1.06e-17 18.93 -2206.30
 27.052  -7.264 1.92e-17 1.52e-17 1.04e-17 15.07 -2205.95
 27.052  -7.261 1.82e-17 1.54e-17 8.98e-18 19.30 -2206.28
 27.052  -7.274 1.44e-17 1.18e-17 6.73e-18 14.97 -2205.91
 27.054  -7.256 2.45e-17 1.52e-17 1.00e-17 18.26 -2206.20
 27.054  -7.263 1.65e-17 1.66e-17 9.35e-18 13.13 -2206.25
 27.059  -7.265 1.67e-17 1.28e-17 1.08e-17 13.50 -2206.20
 27.061  -7.254 2.09e-17 2.07e-17 1.00e-17 11.26 -2206.14
 27.070  -7.259 1.66e-17 1.16e-17 7.98e-18 15.33 -2206.12
 27.072  -7.257 1.73e-17 1.26e-17 8.02e-18 10.94 -2206.01
 27.103  -7.296 2.27e-17 1.46e-17 1.05e-17 13.53 -2206.19
 28.096  -5.384 1.43e-17 1.19e-17 5.81e-18 13.60 -2534.90
 28.110  -5.378 1.18e-17 1.05e-17 8.32e-18 12.17 -2534.92
 28.113  -5.391 2.21e-17 1.47e-17 1.16e-17 10.85 -2534.84
 28.117  -5.384 1.72e-17 1.12e-17 7.03e-18 10.94 -2535.00
 28.118  -5.391 2.15e-17 1.29e-17 8.17e-18 19.01 -2534.74
 28.119  -5.354 1.57e-17 1.14e-17 6.38e-18 11.28 -2534.91
 28.120  -5.399 1.95e-17 1.30e-17 8.03e-18 16.04 -2534.97
 28.128  -5.436 1.89e-17 1.20e-17 9.10e-18 21.73 -2534.72
 28.128  -5.380 1.33e-17 1.19e-17 9.82e-18 11.70 -2534.94
 28.128  -5.402 1.82e-17 1.06e-17 9.59e-18 19.81 -2534.83
 28.131  -5.374 1.38e-17 1.11e-17 6.39e-18 11.54 -2534.91
 28.135  -5.404 1.71e-17 1.11e-17 7.94e-18 12.27 -2534.88
 28.138  -5.308 1.84e-17 1.14e-17 7.87e-18 14.98 -2534.98
 28.175  -5.393 1.63e-17 1.00e-17 6.64e-18 14.59 -2535.01
 28.261  -5.433 2.27e-17 1.84e-17 9.69e-18 13.31 -2534.71
 29.389  -3.337 1.46e-16 8.39e-17 7.40e-17 37.94 -866.94
 29.695  -4.439 1.01e-16 9.11e-17 4.80e-17 30.19 -866.96
 29.860  -3.953 9.90e-17 7.54e-17 6.74e-17 37.50 -867.04
 29.930  -3.625 1.36e-16 8.36e-17 6.34e-17 32.53 -867.06
