x y flux0 flux1 flux2 width rv
 39.924   4.748 2.39e-17 1.15e-17 9.44e-18 15.36 -2227.21
 39.965   4.629 1.78e-17 1.52e-17 7.37e-18 13.85 -2227.31
 39.972   4.587 1.92e-17 1.20e-17 8.77e-18 16.93 -2227.39
 39.975   4.560 2.50e-17 1.44e-17 1.21e-17 14.55 -2227.19
 39.976   4.611 2.12e-17 1.92e-17 1.03e-17 16.94 -2227.49
 39.984   4.622 1.84e-17 1.30e-17 8.61e-18 15.83 -2227.35
 39.989   4.606 1.93e-17 1.32e-17 9.22e-18 19.61 -2227.32
 39.997   4.618 1.86e-17 1.09e-17 1.08e-17 14.81 -2227.30
 39.998   4.582 1.52e-17 1.27e-17 8.74e-18 18.17 -2227.18
 40.000   4.590 1.84e-17 1.11e-17 7.40e-18 21.38 -2227.24
 40.010   4.603 1.92e-17 1.52e-17 1.07e-17 13.23 -2227.28
 40.013   4.567 1.80e-17 1.32e-17 9.02e-18  7.82 -2227.30
 40.013   4.586 1.47e-17 1.08e-17 7.32e-18 17.99 -2227.30
 40.014   4.686 2.05e-17 1.54e-17 1.05e-17 18.89 -2227.36
 40.014   4.572 2.17e-17 1.53e-17 8.42e-18 11.84 -2227.18
 40.014   4.528 1.81e-17 1.16e-17 8.01e-18 18.78 -2227.18
 40.015   4.579 1.80e-17 1.46e-17 9.92e-18  9.34 -2227.19
 40.017   4.547 2.05e-17 1.22e-17 7.62e-18 15.15 -2227.22
 40.022   4.611 1.42e-17 1.43e-17 7.56e-18 14.60 -2227.31
 40.023   4.597 2.60e-17 1.42e-17 9.44e-18 10.94 -2227.34
 40.024   4.628 2.02e-17 1.55e-17 1.14e-17 10.97 -2227.31
 40.025   4.607 1.92e-17 1.68e-17 1.21e-17 15.86 -2227.21
 40.028   4.524 1.89e-17 1.40e-17 8.09e-18 12.92 -2227.35
 40.028   4.573 2.27e-17 1.41e-17 1.10e-17 15.96 -2227.43
 40.029   4.610 3.36e-17 1.84e-17 1.31e-17 11.59 -2227.17
 40.030   4.613 2.38e-17 1.63e-17 1.19e-17 10.83 -2227.27
 40.034   4.417 2.90e-17 1.59e-17 1.17e-17 12.60 -2227.30
 40.034   4.581 2.24e-17 1.91e-17 9.70e-18 13.16 -2227.16
 40.037   4.638 1.78e-17 1.03e-17 8.22e-18 17.77 -2227.35
 40.054   4.525 1.82e-17 1.32e-17 9.14e-18 14.24 -2227.43
 40.060   4.644 1.89e-17 1.27e-17 8.91e-18 11.99 -2227.44
