name x y flux1 flux2 flux3 par rv
P01028  30.808  -7.611 5.50e-15 2.75e-15 1.14e-15   0.003    7.57
P00884  30.712 -12.544 1.31e-15 6.96e-16 3.32e-16   0.001    9.07
P04540  30.934  -8.780 1.59e-15 9.36e-16 4.95e-16   0.001    7.97
P00973  31.378  -7.428 3.53e-17 3.20e-17 2.16e-17   0.002    7.46
P01619  31.430  -8.008 1.24e-13 1.33e-13 1.01e-13   0.002    7.61
P04225  32.168  -9.293 1.05e-14 4.32e-15 2.25e-15   0.001    8.00
P05629  33.218  -8.344 1.62e-15 8.71e-16 4.33e-16   0.002    7.31
P02881  33.331  -5.292 4.92e-16 3.18e-16 1.53e-16   0.001    6.13
P01813  33.356 -10.677 1.56e-13 1.23e-13 7.35e-14   0.001    8.33
P00881  33.318 -11.478 3.29e-15 1.61e-15 8.69e-16   0.001    8.64
P00357  33.755  -9.563 4.90e-15 2.64e-15 1.20e-15   0.001    7.74
P04959  33.954  -6.717 1.47e-15 8.22e-16 4.27e-16   0.001    6.39
P03131  33.856 -14.372 8.15e-14 3.38e-14 1.65e-14   0.001    9.25
P01285  33.895 -12.663 7.75e-16 4.12e-16 2.20e-16   0.001    8.97
P00470  34.372  -8.701 2.84e-16 1.80e-16 1.02e-16   0.002    7.25
P02839  34.350  -9.574 8.61e-16 4.69e-16 2.37e-16  -0.001    7.83
P04265  34.405  -8.548 5.38e-15 2.44e-15 1.52e-15   0.001    7.02
P06071  34.424  -6.297 8.05e-14 3.81e-14 1.86e-14  -0.001    5.88
P05382  34.481 -11.246 1.36e-17 1.22e-17 9.28e-18   0.000    8.69
P04363  34.435  -6.653 5.26e-16 3.45e-16 1.67e-16   0.000    5.91
P03937  34.647  -6.909 1.57e-15 7.39e-16 3.59e-16   0.003    6.00
P03736  34.652 -10.445 6.13e-15 3.35e-15 1.46e-15   0.003    8.45
P02617  34.736 -10.287 1.02e-17 1.19e-17 7.72e-18   0.002    8.42
P02763  34.789  -9.676 1.31e-15 7.70e-16 3.62e-16  -0.001    8.00
P05839  34.797 -11.313 5.19e-15 2.88e-15 1.33e-15   0.002    8.89
P00246  34.802  -7.395 7.14e-15 3.28e-15 1.79e-15   0.000    5.95
P03037  34.893  -8.030 2.02e-17 1.84e-17 1.21e-17   0.002    6.31
P03461  34.925  -7.275 1.81e-17 1.65e-17 1.03e-17   0.002    5.77
P02187  35.104  -7.763 5.45e-16 3.46e-16 1.87e-16   0.000    5.89
P04080  35.220  -9.680 1.39e-15 8.75e-16 3.88e-16   0.001    8.24
P00526  35.181  -9.166 3.40e-15 2.02e-15 9.47e-16   0.002    7.32
P02422  35.292  -9.099 1.38e-17 1.27e-17 9.21e-18  -0.000    7.09
P04666  35.376 -11.056 1.46e-16 9.17e-17 5.03e-17   0.001    9.04
P05988  35.426 -10.169 1.03e-15 5.96e-16 3.46e-16   0.001    8.86
P03520  35.518  -6.053 1.18e-17 1.00e-17 8.25e-18  -0.001    5.25
P05471  35.543 -10.452 6.59e-16 3.78e-16 2.13e-16   0.001    9.06
P04408  35.334  -8.629 1.36e-17 1.42e-17 9.48e-18   0.002    5.87
P00139  35.489  -9.263 2.93e-15 1.62e-15 8.08e-16   0.002    7.46
