name x y flux1 flux2 flux3 par rv
P00739 -14.178  40.196 3.35e-14 1.85e-14 9.12e-15   0.004   17.45
P03187 -12.984  38.444 1.34e-14 1.07e-14 6.75e-15   0.014   17.37
P04458 -12.534  39.987 1.42e-10 3.05e-10 4.72e-10   0.061   16.87
P02921 -11.779  40.621 3.33e-14 2.32e-14 1.39e-14   0.015   17.35
P05014 -10.863  38.343 2.58e-16 1.61e-16 8.67e-17   0.001   17.38
P02338 -10.636  40.296 4.93e-15 5.03e-15 4.08e-15   0.016   17.19
P00799  -7.740  39.805 3.51e-16 3.43e-16 2.67e-16   0.005   17.17
P01116  -7.667  36.678 6.21e-17 4.44e-17 2.66e-17   0.001   17.19
P01491  -7.039  37.786 1.21e-11 6.82e-12 3.10e-12   0.065   16.66
P00735  -6.930  43.624 1.29e-13 7.77e-14 4.29e-14   0.018   17.01
P01033  -6.243  36.661 2.41e-17 1.93e-17 1.23e-17   0.000   17.07
P05412  -4.427  36.329 5.43e-14 3.20e-14 1.46e-14   0.001   16.93
P05465  -4.128  40.868 1.06e-14 8.45e-15 5.69e-15   0.010   17.00
P01984  -3.661  38.442 1.68e-13 1.06e-13 6.03e-14   0.020   16.83
P02547  -3.680  31.802 1.28e-15 5.45e-15 1.57e-14   0.000   17.08
P03462  -3.468  31.797 2.71e-15 1.31e-15 6.31e-16   0.001   17.17
P02706  -3.248  40.189 3.59e-11 1.73e-11 8.12e-12   0.019   16.87
P06217  -2.026  36.816 1.27e-15 6.67e-16 3.07e-16  -0.000   16.73
P01636  -1.581  37.331 3.27e-15 1.62e-15 7.68e-16   0.001   16.57
P04453  -1.340  38.936 2.48e-16 1.52e-16 8.37e-17  -0.001   16.46
P04323  -1.452  35.654 8.98e-14 6.56e-14 4.05e-14   0.001   16.76
P00808  -1.322  34.073 1.28e-15 6.76e-16 3.44e-16  -0.001   17.02
P02596  -0.971  36.293 4.52e-16 2.59e-16 1.33e-16   0.001   16.67
P04906  -0.866  32.441 1.69e-13 1.38e-13 9.17e-14   0.057   16.24
P05824  -0.699  36.201 3.44e-16 1.93e-16 9.84e-17  -0.000   16.63
P06144  -0.781  33.256 1.20e-16 7.64e-17 4.38e-17  -0.000   17.09
P06114  -0.313  35.659 5.66e-12 2.83e-12 1.30e-12   0.022   16.56
P03912  -0.090  34.352 2.21e-15 1.12e-15 5.28e-16   0.001   17.02
P00077  -0.282  36.418 5.11e-16 2.83e-16 1.32e-16  -0.000   16.37
