name x y flux1 flux2 flux3 par rv
P02262 -14.844  20.563 5.22e-16 6.19e-16 5.08e-16   0.008    1.69
P05652 -14.523  20.934 1.25e-15 1.14e-15 9.90e-16   0.009    1.70
P04657 -13.128  19.290 3.53e-12 1.76e-12 8.08e-13   0.023    1.08
P01088 -10.298  16.076 1.05e-15 6.17e-16 3.20e-16   0.002    0.22
P05932  -9.856  15.531 1.02e-13 5.65e-14 2.77e-14  -0.000    0.73
P03363  -9.775  17.505 1.87e-15 8.22e-16 4.24e-16  -0.000    1.11
P03513  -9.594  15.074 2.75e-11 1.85e-11 8.83e-12   0.011   -0.50
P00477  -9.439  17.983 2.10e-14 1.47e-14 9.54e-15   0.012    0.07
P05591  -8.877  15.590 3.40e-13 1.90e-13 9.68e-14   0.014   -0.52
P00321  -8.358  15.145 3.79e-16 2.26e-16 1.15e-16   0.001    0.50
P04975  -8.180  19.507 5.57e-16 3.08e-16 1.48e-16   0.002    1.27
P02941  -7.466  19.316 1.26e-13 8.81e-14 5.34e-14   0.000    0.50
P04893  -7.259  15.325 5.77e-14 3.03e-14 1.33e-14   0.002    0.37
P03501  -7.145  17.746 2.27e-17 1.84e-17 1.23e-17   0.002    0.46
P04131  -7.073  16.776 1.85e-17 1.47e-17 1.01e-17   0.001    0.58
P00597  -6.794  15.466 4.31e-15 2.20e-15 1.01e-15  -0.000    0.41
P03155  -6.515  16.415 3.12e-17 2.38e-17 1.54e-17  -0.000    0.55
P05773  -6.428  17.186 6.93e-16 3.64e-16 1.74e-16   0.001    0.58
P05738  -6.164  16.985 3.68e-14 2.05e-14 9.87e-15  -0.001    0.50
P00805  -6.300  16.380 4.01e-17 3.12e-17 1.81e-17  -0.000   -0.62
P00713  -5.973  16.864 3.89e-16 2.01e-16 1.13e-16  -0.001    0.33
P00755  -5.705  20.631 1.30e-15 6.97e-16 3.60e-16  -0.001    1.21
P03416  -5.519  18.443 1.01e-13 5.74e-14 3.01e-14   0.000   -0.04
P03346  -5.487  20.751 8.25e-14 5.19e-14 2.72e-14   0.002    1.18
P03538  -5.481  15.176 3.39e-16 1.79e-16 1.02e-16  -0.000    0.31
P04184  -5.515  16.537 5.74e-17 3.97e-17 2.43e-17   0.002    0.24
P02140  -5.309  18.696 7.31e-16 4.29e-16 2.19e-16   0.001    0.47
P01629  -5.145  15.682 2.28e-16 1.39e-16 7.31e-17   0.002   -1.08
P01148  -5.247  19.545 3.56e-17 2.67e-17 1.88e-17   0.000   -0.31
P02732  -5.154  15.456 3.69e-15 2.16e-15 9.54e-16   0.001    0.47
P01173  -5.117  16.817 1.56e-11 1.02e-11 4.30e-12   0.091   -1.00
P02111  -4.823  17.103 1.23e-16 7.98e-17 4.26e-17  -0.001   -0.33
P00420  -4.988  18.902 1.75e-17 1.46e-17 1.07e-17   0.001    0.82
P00557  -4.945  16.679 2.81e-15 1.54e-15 7.32e-16   0.000    0.32
P00917  -4.733  18.009 1.47e-16 9.82e-17 5.49e-17   0.001    0.88
P00935  -4.757  17.550 6.30e-17 4.50e-17 2.66e-17   0.001   -0.19
P04925  -4.781  15.668 3.87e-15 1.93e-15 9.31e-16   0.000    0.85
P02281  -4.520  18.573 2.55e-17 2.03e-17 1.36e-17  -0.001   -0.51
P02289  -4.602  16.193 1.78e-15 8.37e-16 4.54e-16   0.002    0.76
P02369  -4.568  16.647 3.12e-15 1.56e-15 7.69e-16   0.001    0.20
P01835  -4.689  17.506 2.04e-15 1.11e-15 4.91e-16   0.001    0.75
P01569  -4.651  15.148 4.55e-17 3.67e-17 2.14e-17  -0.001    0.27
P05509  -4.645  18.283 3.38e-15 1.67e-15 8.19e-16   0.001    0.62
P05147  -4.247  17.685 5.11e-14 2.77e-14 1.24e-14   0.001    0.77
P00601  -4.349  20.668 2.08e-14 3.72e-14 5.38e-14   0.000    0.16
P05022  -4.294  16.587 1.52e-17 1.36e-17 1.01e-17  -0.000    0.17
P06086  -4.424  18.342 8.23e-17 5.39e-17 3.46e-17   0.000    0.63
P01416  -4.318  17.337 7.38e-14 4.63e-14 2.17e-14   0.000    0.60
P00607  -4.334  20.164 3.17e-17 2.48e-17 1.62e-17   0.000    0.20
P02116  -4.232  19.066 1.70e-16 1.07e-16 6.16e-17   0.002    0.54
P01245  -4.288  17.838 5.02e-16 3.03e-16 1.52e-16   0.001    0.10
P02209  -4.428  17.141 1.90e-16 1.14e-16 5.80e-17   0.001   -0.38
P01505  -4.400  18.019 2.00e-17 1.54e-17 1.07e-17   0.001    0.99
P04365  -4.456  15.940 9.97e-14 5.90e-14 3.60e-14  -0.002    1.17
P04943  -4.193  17.296 1.01e-17 9.20e-18 6.94e-18  -0.000    0.70
P00294  -4.234  15.456 6.22e-14 3.47e-14 1.62e-14  -0.000    0.04
P02457  -4.255  15.847 3.78e-14 1.80e-14 8.97e-15   0.000    1.11
P02712  -4.210  15.683 8.77e-17 5.53e-17 3.66e-17  -0.000    1.03
P05450  -4.070  16.870 4.46e-14 2.32e-14 9.52e-15   0.000   -0.11
P00025  -4.199  15.519 1.09e-16 6.74e-17 4.06e-17  -0.001    0.57
P02771  -4.165  18.115 2.56e-16 1.41e-16 7.36e-17   0.002    0.43
P01291  -4.115  17.738 3.98e-15 1.32e-14 2.81e-14   0.002    0.52
P02242  -4.105  16.567 1.13e-16 7.45e-17 4.39e-17   0.000    0.25
P02076  -4.177  15.575 2.17e-15 9.75e-16 4.83e-16   0.001    0.80
P05626  -4.001  16.362 1.06e-17 9.50e-18 6.41e-18   0.000    0.44
P06204  -4.213  15.720 1.28e-16 9.59e-17 4.96e-17   0.001    1.50
P00958  -3.908  16.975 9.80e-17 7.04e-17 3.97e-17   0.002   -0.43
P01223  -3.912  18.916 4.01e-17 3.07e-17 1.92e-17   0.002   -0.79
P03260  -3.918  17.432 5.57e-16 3.10e-16 1.65e-16   0.001   -0.20
P04728  -3.904  15.029 5.56e-14 3.29e-14 1.42e-14  -0.002   -0.64
P02718  -3.818  17.368 5.11e-17 3.59e-17 2.14e-17   0.001   -0.02
P02974  -3.912  15.944 5.38e-14 6.57e-14 5.89e-14  -0.000   -0.56
P00245  -3.786  16.174 9.92e-16 5.13e-16 2.53e-16   0.001    0.41
P01700  -3.886  19.667 1.43e-15 7.32e-16 3.88e-16   0.001   -0.77
P05136  -3.875  17.398 3.64e-17 2.79e-17 1.76e-17  -0.001   -0.09
P02401  -3.813  18.064 5.42e-14 3.02e-14 1.41e-14   0.002    0.87
P05544  -3.751  15.559 8.88e-14 8.08e-14 5.94e-14   0.001    0.76
P04242  -3.830  15.598 5.14e-14 2.55e-14 1.22e-14   0.002    0.62
P02047  -3.832  15.489 3.50e-17 2.66e-17 1.80e-17   0.002    0.37
P00541  -3.749  19.162 2.05e-17 1.82e-17 1.13e-17   0.000    0.16
P01144  -3.835  17.557 3.22e-15 1.52e-15 6.61e-16   0.002    1.06
P04063  -3.746  15.820 9.74e-14 8.90e-14 5.85e-14   0.000    1.65
P03766  -3.486  19.476 3.26e-17 2.39e-17 1.52e-17   0.000    0.80
P03598  -3.616  15.738 4.44e-15 2.35e-15 9.90e-16   0.001    2.56
P00435  -3.590  15.573 3.11e-17 2.36e-17 1.45e-17   0.000    1.07
P02020  -3.522  15.633 7.60e-16 4.21e-16 2.17e-16  -0.001    1.30
P04608  -3.660  15.801 9.60e-14 7.91e-14 5.17e-14   0.001    2.58
P04334  -3.576  18.350 3.08e-17 2.81e-17 1.61e-17   0.000    0.94
P03827  -3.557  15.892 2.35e-17 1.80e-17 1.16e-17   0.000    2.92
P01365  -3.526  17.502 2.67e-17 2.26e-17 1.36e-17   0.001   -0.05
P03897  -3.549  19.434 6.98e-17 5.13e-17 3.00e-17   0.001    0.88
P01937  -3.604  16.095 8.61e-14 8.12e-14 6.39e-14   0.002    2.38
P00146  -3.552  15.820 4.96e-14 2.37e-14 1.05e-14   0.001    2.99
P01377  -3.462  15.999 3.33e-15 1.66e-15 7.79e-16   0.001    3.13
P01153  -3.381  15.883 2.90e-15 1.57e-15 6.56e-16   0.001   -1.36
P04140  -3.539  17.235 1.66e-16 1.16e-16 5.54e-17  -0.000    0.88
P04815  -3.462  15.670 2.95e-17 2.18e-17 1.50e-17   0.001    0.64
P05189  -3.466  16.222 9.01e-16 4.92e-16 2.82e-16   0.002   -0.30
P04371  -3.321  17.776 3.41e-17 2.52e-17 1.72e-17   0.001    1.23
P01469  -3.435  17.090 2.03e-16 1.31e-16 6.85e-17   0.001    0.63
P04794  -3.295  16.048 1.25e-15 6.17e-16 3.18e-16   0.000    3.56
P01471  -3.357  15.950 9.19e-14 8.04e-14 5.73e-14   0.001    3.21
P01179  -3.232  18.174 4.65e-15 2.24e-15 1.07e-15   0.000    0.57
P02436  -3.319  17.061 3.70e-14 1.91e-14 9.28e-15  -0.001    0.25
P02480  -3.396  18.242 1.22e-16 8.29e-17 4.59e-17   0.003    1.03
P02234  -3.295  16.324 1.87e-16 1.26e-16 7.27e-17  -0.000   -1.01
P03033  -3.181  16.152 1.21e-17 1.05e-17 6.97e-18   0.001    1.27
P05183  -3.365  18.651 1.24e-16 8.33e-17 5.08e-17   0.001    0.26
P06047  -3.364  16.069 2.36e-15 1.20e-15 5.47e-16   0.003    3.61
P05801  -3.280  18.778 1.22e-15 6.64e-16 3.39e-16   0.002   -1.18
P04198  -3.257  15.187 8.56e-14 4.99e-14 2.60e-14   0.001   -1.44
P01451  -3.323  15.781 5.66e-17 4.20e-17 2.68e-17  -0.000    1.96
P02912  -3.448  15.513 7.05e-16 3.58e-16 2.01e-16  -0.001   -0.17
P00946  -3.277  18.309 4.70e-14 2.44e-14 1.10e-14  -0.000    0.97
P06173  -3.225  17.258 5.05e-14 2.95e-14 1.47e-14   0.001    0.90
P03499  -3.122  15.160 1.44e-15 8.74e-16 3.72e-16   0.001   -1.80
P02203  -3.205  15.705 1.38e-15 6.67e-15 1.80e-14   0.001    0.52
P01945  -3.256  15.826 3.61e-16 2.37e-16 1.16e-16  -0.001   -0.06
P02065  -3.126  18.041 1.03e-15 5.19e-16 2.44e-16   0.002    0.97
P04858  -3.177  16.105 6.10e-14 3.20e-14 1.49e-14  -0.000    5.83
P00347  -3.231  16.091 1.03e-16 6.34e-17 3.77e-17   0.001   -0.01
P03767  -3.172  15.791 9.28e-14 8.17e-14 6.03e-14   0.001    0.25
P03724  -3.098  16.043 2.15e-16 1.41e-16 7.43e-17   0.002   -1.75
P05187  -3.311  19.913 5.26e-16 3.15e-16 1.55e-16   0.001    0.49
P01354  -3.168  17.573 7.90e-14 4.99e-14 2.45e-14   0.001    0.33
P03545  -3.170  15.770 9.48e-16 5.04e-16 2.42e-16   0.002    1.01
P05876  -3.225  16.056 9.76e-14 6.72e-14 4.34e-14  -0.001   -1.95
P02331  -3.141  15.906 1.45e-16 9.35e-17 4.67e-17   0.000   -2.17
P05856  -3.138  16.658 5.52e-17 3.88e-17 2.43e-17  -0.001   -0.90
P02735  -3.207  17.917 2.31e-17 1.88e-17 1.22e-17   0.001    1.00
P01107  -3.136  16.241 6.64e-14 3.84e-14 1.76e-14   0.001   -2.34
P05723  -3.178  17.314 1.37e-16 9.68e-17 5.37e-17   0.001    1.25
P01489  -3.124  15.321 9.02e-14 6.00e-14 3.37e-14   0.002   -1.85
P04067  -3.065  18.123 2.19e-16 1.39e-16 7.28e-17   0.001    1.04
P04398  -3.026  15.638 5.86e-14 7.60e-14 6.16e-14   0.001   -3.04
P01696  -3.023  16.398 2.10e-15 1.16e-15 5.01e-16  -0.001   -0.79
P03985  -2.959  17.316 9.62e-17 6.40e-17 3.96e-17   0.000    1.12
P05041  -2.997  16.079 3.70e-17 2.72e-17 1.72e-17   0.002   -1.03
P05474  -3.111  16.769 4.79e-14 6.61e-14 6.39e-14   0.002   -0.41
P02367  -3.082  18.082 3.08e-16 1.93e-16 1.03e-16  -0.000    1.09
P04194  -3.007  15.560 6.18e-14 3.82e-14 1.83e-14  -0.001   -2.23
P01873  -3.102  18.645 7.29e-14 4.05e-14 2.06e-14   0.002    0.19
P00109  -3.042  16.883 1.40e-17 1.14e-17 8.33e-18   0.001   -0.17
P03909  -3.085  16.043 6.81e-17 4.53e-17 2.52e-17  -0.000   -8.81
P05133  -3.124  19.889 9.71e-17 5.87e-17 3.66e-17  -0.001    0.39
P03315  -3.084  17.400 4.65e-15 2.48e-15 1.12e-15   0.002    0.45
P04373  -2.990  17.431 1.10e-15 6.19e-16 2.72e-16   0.001    1.38
P00774  -3.141  15.895 1.29e-17 1.17e-17 8.26e-18   0.001   -8.26
P05948  -2.843  16.755 4.00e-14 2.17e-14 9.26e-15   0.001   -2.06
P03514  -3.007  18.591 9.12e-14 9.42e-14 6.83e-14   0.002    1.11
P02804  -2.972  16.009 1.36e-15 6.92e-16 3.41e-16   0.002   -5.87
P02086  -2.839  17.705 4.17e-14 2.04e-14 7.67e-15   0.002    0.95
P03221  -2.926  18.382 1.15e-15 6.13e-16 2.98e-16   0.002    1.02
P03470  -2.979  15.987 2.39e-16 1.68e-16 9.22e-17   0.000   -6.69
P05705  -3.061  18.027 8.81e-14 5.18e-14 2.78e-14   0.001    0.92
P03340  -3.012  16.698 7.87e-17 5.69e-17 3.31e-17   0.000   -0.83
P03532  -2.956  16.068 3.63e-14 1.91e-14 9.28e-15  -0.000   -3.74
P04795  -2.921  17.832 5.93e-17 4.25e-17 2.40e-17   0.001    0.87
P06070  -3.034  17.153 8.00e-16 4.45e-16 2.20e-16   0.001   -2.02
P06185  -2.750  19.396 2.48e-17 1.98e-17 1.37e-17  -0.001    0.33
P01679  -2.941  16.345 3.61e-16 2.03e-16 1.01e-16   0.000   -0.91
P04915  -2.897  16.894 8.32e-16 5.05e-16 2.18e-16  -0.001    0.10
P05353  -2.869  16.040 2.40e-17 1.92e-17 1.30e-17   0.002   -5.80
P01470  -2.887  17.218 7.60e-16 4.14e-16 2.08e-16   0.001    1.20
P02307  -2.826  15.945 8.87e-16 5.04e-16 2.56e-16   0.002   -6.61
P02204  -2.936  15.857 3.77e-14 2.01e-14 9.87e-15   0.002   -6.09
P00649  -2.800  15.644 6.51e-17 5.22e-17 3.21e-17   0.000   -4.58
P06218  -2.853  18.129 2.34e-15 1.19e-15 5.87e-16  -0.001   -1.52
P04228  -2.820  15.276 9.18e-17 6.69e-17 3.78e-17  -0.001   -2.56
P00517  -2.841  15.737 4.76e-14 2.55e-14 1.10e-14   0.001   -4.68
P02011  -2.925  17.847 3.29e-17 2.74e-17 1.63e-17   0.001    1.17
P02435  -2.786  15.907 5.68e-14 3.36e-14 1.51e-14   0.001   -5.86
P02489  -2.703  17.678 6.72e-17 4.60e-17 2.85e-17  -0.001    1.66
P00355  -2.752  15.791 3.40e-17 2.47e-17 1.59e-17   0.000   -5.03
P03151  -2.716  18.485 1.14e-15 6.58e-16 3.37e-16   0.001    1.30
P03258  -2.810  15.747 2.55e-16 1.46e-16 8.60e-17   0.000   -4.87
P00481  -2.671  16.073 4.61e-17 3.65e-17 2.30e-17   0.001   -5.19
P05827  -2.715  18.257 1.65e-16 1.15e-16 6.59e-17   0.002    1.10
P01957  -2.732  15.733 7.78e-14 7.14e-14 5.34e-14   0.001   -1.82
P01822  -2.687  17.340 6.64e-16 3.95e-16 1.99e-16   0.000    0.44
P06139  -2.750  16.023 5.39e-16 3.44e-16 1.61e-16   0.002   -5.71
P03199  -2.664  15.031 6.53e-14 6.64e-14 5.73e-14   0.000   -2.14
P02475  -2.777  15.990 5.51e-16 3.34e-16 1.80e-16   0.000   -5.71
P05800  -2.616  16.343 4.40e-14 1.96e-14 1.07e-14   0.002   -3.81
P02228  -2.652  17.254 4.34e-14 2.21e-14 1.07e-14   0.001    0.72
P03892  -2.666  18.611 2.00e-17 1.58e-17 1.02e-17   0.000    0.68
P00024  -2.691  20.520 2.70e-16 1.62e-16 9.58e-17   0.000    0.14
P01183  -2.683  18.267 3.49e-16 2.06e-16 1.13e-16   0.000   -1.61
P01374  -2.651  17.587 2.26e-15 1.23e-15 5.11e-16   0.001    1.91
P01694  -2.639  16.655 1.88e-17 1.71e-17 1.04e-17   0.001   -0.97
P05668  -2.677  17.628 1.58e-17 1.41e-17 9.84e-18  -0.001    1.86
P00037  -2.675  17.944 4.16e-17 3.06e-17 1.69e-17   0.001    0.80
P04720  -2.565  18.355 3.65e-17 2.98e-17 1.97e-17   0.001    1.18
P03784  -2.560  19.493 4.70e-15 2.33e-15 1.16e-15  -0.001   -0.63
P04210  -2.491  18.306 1.97e-15 1.06e-15 5.04e-16  -0.000    0.85
P00066  -2.574  16.847 1.11e-16 7.51e-17 3.96e-17  -0.001   -0.18
P06098  -2.463  17.140 5.81e-17 4.24e-17 2.82e-17   0.001    0.57
P00444  -2.522  17.052 6.94e-17 5.34e-17 2.86e-17   0.000    0.31
P05193  -2.438  15.457 3.50e-14 5.08e-14 5.80e-14   0.001   -3.64
P03670  -2.524  15.831 1.43e-15 7.46e-16 3.62e-16   0.001   -5.27
P01041  -2.530  18.877 1.08e-17 1.08e-17 6.85e-18  -0.000   -0.48
P01238  -2.486  15.658 5.37e-16 3.02e-16 1.47e-16   0.001   -4.61
P02359  -2.560  17.457 7.49e-16 3.91e-16 1.96e-16   0.001    1.02
P01218  -2.457  17.476 1.38e-17 1.16e-17 8.64e-18   0.000    1.60
P05151  -2.618  18.415 2.21e-16 1.37e-16 7.50e-17   0.000    1.51
P02896  -2.453  16.463 2.26e-15 1.16e-15 5.32e-16   0.000   -1.29
P04333  -2.421  16.929 2.30e-16 1.41e-16 7.17e-17   0.001   -0.24
P04868  -2.428  17.260 6.75e-16 3.65e-16 1.79e-16   0.001    1.14
P05992  -2.427  18.266 1.06e-16 7.87e-17 4.19e-17  -0.001    1.44
P04106  -2.248  17.656 8.50e-14 5.47e-14 2.96e-14   0.000    1.76
P00605  -2.332  15.910 1.01e-17 9.78e-18 6.66e-18  -0.001   -4.69
P02928  -2.229  17.453 6.27e-17 4.30e-17 2.52e-17   0.000    2.63
P04190  -2.203  17.605 4.65e-16 2.69e-16 1.23e-16   0.001    2.35
P01707  -2.243  17.377 6.74e-16 3.73e-16 1.93e-16   0.001    2.18
P02949  -2.390  17.174 5.79e-14 3.28e-14 1.64e-14   0.002    1.68
P01078  -2.312  18.752 1.33e-16 8.57e-17 4.87e-17   0.001    1.45
P02958  -2.212  18.240 2.79e-16 1.62e-16 8.76e-17  -0.000   -0.87
